ID,Language_ID,Name,Description,Example_IDs,Source,Schema
constr45,emai1241,Prepositional-Applicative Construction,"The construction is neutral in indexing. As for flagging, it might be regarded as indirective, as R is introduced by the applicative particle li/ni ‘to, for’. Yet it is not clear whether the particle flags R, as elsewhere (Schaefer & Egbokhare 2008++: 7) it is stated that li/ni belongs to postverbal particles, which suggests that it is rather a postposed marker of T. Most ‘manner of motion’ verbs (scoop. ‘pick’, ‘fetch’, ‘uproot’, etc.) can be used in this construction to denote transfer of possession. The use of the allative marker in this construction would imply temporary possession. Some verbs like ré do not appear outside this construction.",ex180;ex384,ch001schaeferegbokhare2003,A V T li (APPL) R
constr46,cavi1250,Ditransitive Construction,"Free word order, and no (or absolutive) case-marking on both T and R. Guillaume argues that this is a “true” double-object construction because there are no coding or behavioural properties that distinguish T and R.",ex181;ex385,ch05guillaume2008,A-erg V T R
constr47,kiny1244,Double object construction,"T and R are both unmarked postverbal noun phrases, with R preceding T as noun phrases (p. 11), and with T preceding R as pronominal prefixes (p. 181). Either T or R may be made subject of the passive (p. 65, p. 127). Either T or R can appear as reflexive prefix (but can both simultaneously? examples only for R) (p. 66). Object-subject reversal, which applies to P, applies to neither T nor R (p. 145). Both T and R can be left-topicalized, including simultaneously - in the example given, the order is R before T; R and T cannot both be right-topicalized simultaneously (p. 203), though presumably either of them can individually. Indexing and noun phrase are usually in complementary distribution for non-subjects, but indexing is obligatory under topicalization.",ex182;ex386,,A subj[A].V R T
constr48,hung1274,Dative Construction,Object agreement (definite conjugation) occurs only with definite objects.,ex183;ex387;ex789,ch001keneseivagofenyvesi1998,A V.obj[T] T-acc R-dat
constr49,sahaptin,Allative Construction,"T (and P) - if speech act participants (1st/2nd) - are cross-referenced by enclitics. The allative case on R in combination with the genitive only occurs, if R is animate. NB: Object agreement indexes T. When the third argument is a source rather than a recipient, it takes ablative case (cf. the example 'They stole the chief from the people').",ex184;ex388;ex185,rude-1997,A subj[A].V.obj[T] T-obj R-(gen)-all
constr50,sahaptin,Double Object Construction,The object agreement indexes R. R takes the objective case.,ex186,rude-1997,A subj[A].V.obj[R] T R-obj
constr51,nucl1302,Present Series Construction,"A carries the nominative,T and R the dative case. The verb agrees separately with A and R (but agreement with R is often zero for third person). T can only be third person, for which the agreement marker is zero anyway; I assume that there is no agreement with T. Note that 1st/2nd person independent pronouns have the same form for all of nominative, dative, ergative, but core arguments are usually omitted, if they are unemphatic.",ex187;ex389,,A-NOM T-DAT R-DAT R-V-A A.NOM T.NOM R.DAT r-V-a/s
constr52,nucl1302,Aorist Series Construction,"A carries the ergative, T the nominative, and R the dative case. The verb agrees separately with A and R (but agreement with R is often zero for third person). T can only be third person (for which the agreement marker is zero anyway). I assume that there is no agreement with T. Note that 1st/2nd person independent pronouns have the same form for all of nominative, dative, ergative, but core arguments are usually omitted, if they are unemphatic.",ex188;ex390,,A-erg T-nom R-dat obj[R].V.subj[A]
constr53,nucl1302,Perfect Series Construction,"A carries the dative and T the nominative case, and R is marked by the suffixed postposition -tvis. The verb agrees with A (but “Indirect Object” marker; in third person often zero) and with T (but “Subject” marker). Note that 1st/2nd person independent pronouns have the same form for all of nominative, dative, ergative, but core arguments are usually omitted, if they are unemphatic. R marked with -tvis is not a core argument (“term”) and may not be omitted in this way.",ex189;ex391,,A-dat T-nom R+tvis subj[A].V.obj[T]
constr54,mana1295,Double Object Construction,The core arguments are unflagged. In ditransitives the object agreement refers to R.,ex190;ex392,ch001lichtenberk1983,A R T subj[A].V.obj[R]
constr55,ship1254,Double Object Construction,"NB p. 527-8: “symmetrical objects”: There is no evidence for indirective or secundative alignment, neither in coding nor in syntactic behavior.",ex191,valenzuela-2003,A-erg R-abs T-abs V
constr56,kaya1319,Locative Construction,"T (as P) is marked by “modal cases”, which also express TAM information. T (as P) changes a (modal) oblique case to nominative with imperatives. Use: “emphasis on change of position”",ex192,evans-1995,A-nom T-mod/obj R-loc V
constr57,kaya1319,Proprietive Construction,R (as P) is marked by “modal cases” (see Locative Construction). T is marked by “proprietive” (having-instrumental) case. Use: “for important gifts / contractual exchange”,ex193,evans-1995,A-nom T-prop R-obj V
constr58,kaya1319,Dative Construction,"R is marked with the “verbal” dative (historically serial verbs / noun-verb compounds), which additionally takes verbal inflections. T is marked with “modal cases” (see Locative Construction). Function: “for the immediate benefit of R”",ex194,evans-1995,A-nom T-mod/obj R-vdat V
constr59,kaya1319,Proprietive-Dative Construction,R is marked with the “verbal” dative (see dative construction). T is marked by the “proprietive” case (see Proprietive Construction). Function: “for small gifts”,ex195,evans-1995,(A-nom) T-prop R-vdat V
constr60,kaya1319,Donative Construction,"T is marked with the “verbal” donative (see dative construction on verbs; cases). Functionally, the donative is similar to the (nominal) proprietive. Function: “gifts out of kindness or solace”",ex196,evans-1995,(A-nom) T-vdon R-mod/obj V
constr61,even1259,Dative Construction,This is a basic construction for ditransitive verbs. R is in the dative and T is in the accusative case (or in the reflexive possessive form). Indexing is neutral as there is only subject agreement and no object agreement.,ex197,ch10nedjalkov1997,A-nom R-dat T-acc V.subj[A]
constr62,wari1268,Secundative construction,"The secundative construction with T introduced by the “general” preposition con. Object agreement is part of a “verbal inflectional complex” (VIC), which expresses transitive agreement (and also TAM). In a secundative construction, object agreement refers to R. This construction is used when P/T is definite.",ex198,ch001everettkern1997,V=a+r/p con T R A
constr63,wari1268,T-incorporating construction,"If T/P is indefinite, it may be left unmarked (no preposition used). Indexing (agreement) remains secundative though.",ex199,ch001everettkern1997,V.subj[A].obj[R] T R A
constr64,even1259,Directive Construction,With some verbs (see ex. 1769) dative alternates with locative-directive.,ex200;ex393,ch10nedjalkov1997,A-nom R-loc/dir T-acc V.subj[A]
constr65,even1259,Allative Construction,"With verbs of speech, the addressee carries allative case. NB: With some verbs (like ASK), the source argument is marked by ACC~ABL (cf. ex. 280, p.68).",ex201,ch10nedjalkov1997,A-nom R-all T-acc V.subj[A]
constr66,even1259,Destinative Construction,"In this construction, the indefinite accusative is obligatorily followed by the possessive suffixes that cross-reference the R argument (construction with NP-internal R). NB: This construction is also available for verbs of creation where the internal possessor encodes beneficiary.",ex202;ex394,ch10nedjalkov1997,A.nom [R T.accind-r] V-a/s
constr67,imba1240,Dative Construction,There is also restricted object agreement for 1st person objects.,ex203;ex395,ch001cole1982,R-dat T-acc V.subj[A]
constr68,imba1240,Benefactive Construction,"-paj can also express possessor (see p. 115, ex. 455).",ex204,ch001cole1982,RBEN TACC V-agr/S
constr69,imba1240,Double Object Construction,Double Object Constructions are only formed by causatives (derived ditransitives).,ex205;ex396,ch001cole1982,RACC TACC V-CAUS-agr/S
constr70,tami1289,Dative Construction,R (in dative case) is used for permanent (change of) possession (cf. the locative construction). On DOM (ACC ~ zero O) see monotransitive flagging.,ex206,lehmann-1993,R-dat T-acc V.subj[A]
constr71,tami1289,Locative Construction,R (with locative case) is used for temporary (change of) possession.,ex207,"lehmann-1993[31, 39-41]",A R-loc T(-acc) V.subj[A]
constr72,tami1289,Benefactive Construction,See “flagging” for details on BEN marking.,ex208,lehmann-1993[35-36],RDAT+BEN TACC/Ø V-agr/S
constr73,leti1246,Directional Double Marking Construction,"Here both R and T are marked by agreement markers: Agreement with R is marked by pronominal clitics and precedes object agreement; object agreement (=P/T) is expressed by demonstrative-like (”attitudinal”) pronominal clitics. NB: The DIR-clitic modifies R, but may attach to a preceding word (T in ex. 1778). Locative clitics are grammaticalized motion verbs, which can alternatively be used instead (see serial construction).",ex209;ex397,engelenhoven-na,(A) AGRa-V=AGRio=AGRo T=DIR R
constr74,leti1246,Directional Serial Construction,"This construction is a less grammaticalized version of the directive construction (cf. ex. 259b, p. 228, under double-marking construction, and 259a). Engelenhoven (2004) calls it ‘explicit encoding’, where direction is encoded by a serial verb rather than a more grammaticalized clitic.",ex210,engelenhoven-na,(A) AGRa-V=AGRo T AGRs-Vmov R
constr75,mart1255,Double-Accusative Construction,"Not only R of canonical ditransitives but also beneficiaries (and malefactive experiencers) are encoded by accusative. Typical ditransitive verbs like yungku ’give’, kulyuma.l- ’give in return’, but also verbs with benefactive or malefactive arguments (murnta.l- ’take from’) form a double accusative construction.",ex211;ex1059,dench-1995[67],A-nom R-acc T-acc V
constr76,yaqu1251,Double-Accusative Construction,Both T and R carry accusative case. The verb may take the object proclitic to agree with either object (preferentially with those which are omitted/topicalized or dislocated).,ex212;ex398,ch001guerrerovanvalin2004;rude-1996,R-acc T-acc obj[R/T].V
constr77,yaqu1251,Postpositional Construction,"In this construction, T is in accusative case, and R is “dative” -ta-u (actually a combination of ACC and directional postposition). The verb may take an object proclitic, or a dative proclitic. Apart from the dative, there is also a benefactive construction, with the beneficiary marked by the postposition betchi’ibo ‘for’ for external beneficiaries.",ex213;ex399,ch001guerrerovanvalin2004,[R u] T.acc (p/t=)V
constr78,puma1239,Dative Construction,"R carries the dative and T the absolutive case. The verb indexes A and R, but not T.",ex214;ex400,ch001bickelgaenszlerairairairaisharma2007[6],A-erg R-dat T-abs V.obj[R].subj[A]
constr79,thai1261,Double Object Construction,The double object construction is used with canonical ditransitives in alternation with the prepositional construction. It cannot be used if T is heavy; in that case only the prepositional construction is used.,ex215;ex380,ch13wilawan2000,A V T R
constr80,swat1243,Double-Object Construction,"Both R and T are unmarked. R follows the verb immediately. Either R or T can be indexed on the verb, but not simultaneously.",ex216;ex401,guzman-1987[311],A V R T
constr81,haka1240,Basic ditransitive construction,Alignment is secundative in agreement. Case alignment is neutral; both objects are apparently caseless (no full-NP recipient given).,ex217,peterson-1998,A R T subj[A].obj[R].V
constr82,haka1240,Causative secundative construction,,ex402;ex546,peterson-1998,A R T AGRs-AGRo=r-V-CAUS
constr83,haka1240,Benefactive secundative construction,"Benefactive (“affected O”) construction with different uses: Benefactive/malefactive/substitutive. Some basic constructions (without BEN) may also allow for BEN encoding as object (by object agreement). Otherwise, BEN is encoded through a postpositional phrase.",ex218,peterson-1998,A R T AGRs-AGRo=r-V-BEN
constr84,seri1257,Monotransitive indirective pattern,R cannot be mentioned here at all (neither as IO nor as an oblique PP).,ex219,marlett-2010;marlett-1993,(A) O AGRs-AGRo=t-V
constr85,seri1257,Monotransitive secundative,R is marked as P. T cannot be mentioned at all.,ex220,marlett-2010,(A) O AGRs-AGRo=r-V
constr86,seri1257,Ditransitive indirective pattern,IO agreement refers to R here. DO agreement refers to T.,ex221,marlett-2010,(A) R O AGRio=r-AGRs+AGRo=t-V
constr87,seri1257,Indirective transitive postpositional,R is expressed as an oblique postpositional phrase and is not marked by the agreement.,ex222,marlett-2010,(A) O R=loc AGRs+AGRo=t-V
constr88,seri1257,Ditransitive secundative with T-“chomeur”,"Less common construction with no flagging and P-like indexing of R. T is not postpositional, yet according to Marlett, it is is neither DO nor IO, as it is not indexed by agreement, hence a “chomeur”.",ex223,marlett-2010,A R T a-r=p-V
constr89,seri1257,Secundative inverse (labile),This pattern has an inverse alignment in that R is cross-referenced by DO agreement and T by IO agreement. This pattern is labile (number sensitive) in that it only admits R in the singular.,ex224;ex1350,marlett-2010,(A) R(sg) O AGRio=t-AGRs-AGRo=r-V
constr90,seri1257,Double oblique inverse (labile),"The same verbs as in Secundative inverse, but if R is plural, it is encoded as oblique. NB: Hierarchy Effects: R is encoded (promoted) to O only if in singular; otherwise it stays a PP.",ex225,marlett-2010,(A) R(pl)=loc O AGRio=t-a-V
constr91,nort2954,Double Oblique Construction,"Both T and R are marked by the oblique (object) prefixal case ka-. Additionally, pronominal Rs are marked by proclitics on the verb. This is a basic ditransitive pattern.",ex227;ex403,ch001thornes2003,(A-nom) T-obl R-obl obj[R].V
constr92,nort2954,Inverse Indirective Construction,"Used only when T (1/2 pronoun) is higher than R on the animacy hierarchy. Then R/BEN is introduced by the locative postposition -tu, while (pronominal) T is marked on the verb.",ex228,ch001thornes2003,(NOM=A) R=tu (t/p)-V
constr93,tzot1262,Monotransitive Indirective Construction,The verb is monotransitive with the T/P argument indexed through absolutive agreement. R is not overtly expressed (but cf. the postpositional indirective pattern).,ex229;ex404,aissen-1983;aissen-1987,t/p/s-a-V T/P (A)
constr94,tzot1262,Postpositional Indirective Pattern,"May be a variant of the monotransitive pattern, with R expressed as a possessor within a prepositional phrase (headed by the possessed noun stem u?un ‘for’).",ex230,aissen-1983;aissen-1987,t/p/s-a-V T [pos-u?un R] (A)
constr95,tzot1262,Double Object Secundative Construction,All arguments are unmarked. The verb takes the applicative marker -be-. The absolutive agreement cross-references R. NB: GIVE also obligatory takes the applicative marker in a ditransitive construction.,ex231;ex405,aissen-1983;aissen-1987,r/p/s-a-V-APPL T R (A)
constr96,indo1316,Prepositional R construction,"A/S and P are unmarked. R appears as a prepositional object (prepositions kepada ‘to’, untuk ‘for’, etc.). Transitive verbs include the transitive prefix men-.",ex232;ex406,sneddon-1996,A (TRANS-)V T Prep (kepada) R
constr97,indo1316,Applicative secundative construction,Here the verb takes additionally (apart from the transitive prefix) the benefactive applicative suffix -kan or the directional applicative suffix -i.,ex233;ex407,chung-ra-1983,A (TRANS-)V-BEN R T
constr98,indo1316,Basic secundative construction,This construction occurs with a few verbs (with “zero applicative”) only.,ex234,chung-ra-1983,A (TRANS-)V R T
constr99,cham1312,Indirective Prepositional Construction,P/T is unmarked. R is introduced with the preposition para. There is no indexing except for the transitive subject.,ex235,topping-1973;cooreman-1987,(A) subj[A].V T para+R
constr100,cham1312,Secundative Applicative Construction,"Dative shift: The verb is marked by the applicative –I. R is shifted. T is unmarked if indefinite, or demoted to OBL if definite (marked by OBL articles: ni (common) ~ as (proper)). Also GIVE historically includes the applicative marker.",ex236;ex408,cooreman-1987;topping-1973,(A) a-V-APPL T R (OBL) T
constr101,sout2961,Indirective (with T incorporation),"T is (usually) incorporated. R is marked by the enclitic =‘ay. NB: The indirective pattern usually uses T-incorporation, yet unlike secundative pattern, but like the monotransitive pattern, T-incorporation is not obligatory (no examples with T expressed as a free NP are given though).",ex237;ex409,ch001allenfrantz1983,A a+t/p(T+)V R-ay
constr102,sout2961,Secundative with T incorporation,"T is obligatorily incorporated. A, R and T are indexed on the verb. R is unmarked and is the prime object.",ex238;ex410,ch001allenfrantz1983,A a+r+t(T+)V R
constr103,koyr1240,Indirective Prepositional Construction,R is introduced with the dative preposition se when T is more topical (e.g. pronominal) than R.,ex239;ex411,heath-1998,A V T R+se
constr104,koyr1240,Shifted Prepositional Construction,Dative marked R is shifted to the postverbal position when it is more topical (e.g. pronominal) than T.,ex240,heath-1998,A V R+se T
constr105,koyr1240,Double Object Construction,"This construction is possible only for a few canonical ditransitive verbs like noo ’give’ when R is pronominal. R-promotion in a double object construction is obligatory for 1/2 SG pronouns, and preferred if R is (another) pronominal and if T is an NP.",ex241;ex412,heath-1998,A V R T
constr106,malt1254,Indirect object construction,I,ex242;ex413,ch01borgcomrie1984,Ag V-ag(-thm)(-rec) T lil/’l R
constr107,nort2722,Dative Construction,"R is marked with the dative/locative postposition =tA. The object agreement (otherwise optional) refers to R. Object agreement preferentially targets topical objects (R, P). R-marking may be optional (see ex. 1813) (only if disambiguated by AGRs?).",ex243;ex414,lapolla-j.-2003,A R-dat T V.obj[R].subj[A]
constr108,nort2722,Genitive Construction,"R/BEN takes genitive case. Yet it is not a possessor, since the order can be changed (unlike in possessive constructions). The same marking occurs in benefactive constructions.",ex244;ex415,lapolla-j.-2003,A R-gen T V.obj[R].subj[A]
constr109,pana1305,Double Object Construction,"Both R and T are marked by the accusative case. There is no agreement on the verb. The word order is variable. If R is postverbal, it is optionally case-marked.",ex245;ex416,dayley-1989,A R-acc T-acc V
constr110,pana1305,Double Object Applicative Construction,"As in the basic construction, both R and T are marked by the accusative case. The verb takes the applicative suffix. Productive with Beneficiaries: buy-for, kill-for, did-for (p. 117).",ex246,dayley-1989,(A) R.obj T.obj V-APPL
constr111,wapp1239,Dative Construction,"R is marked with dative case, a case that also expresses direction and ‘(talk) to’.",ex247;ex417,thompson-etal-2006[12],A-nom R-dat T V
constr112,jara1245,Ditransitive Construction,,ex248;ex418,kumar-2006,A-nom R-obl T V
constr113,nucl1347,Double Object Construction,,,schwartz-1975;becher-2005,
constr114,jalonke,Locative Indirective Construction,A and T are unmarked. R is introduced as an oblique with the postposition ma ’at’.,ex249;ex419,ch01luepke2005,A T V R+ma
constr115,jalonke,Locative secundative construction,"A and R are unmarked. T is introduced as an oblique with the postposition ma ’at’ (which is the same postposition as in the indirective pattern). Apart from R arguments, the Source may also appear in this construction with verbs like ‘steal’ (which also allow for the indirective pattern).",ex250;ex420,ch01luepke2005,A R V T+ma
constr116,jalonke,Instrumental secundative construction,"Unlike the previous pattern, T is introduced with the instrumental postposition ra.",ex251,ch01luepke2005,A R V T+ra
constr117,jalonke,Instrumental indirective construction,"With the verb SHOW, R is exceptionally introduced by the instrumental postposition ra.",ex252,ch01luepke2005,A T V R+ra
constr118,jalonke,Benefactive Indirective Construction,"With verbs of speech, R is marked by the benefactive postposition bE.",ex253,ch01luepke2005,A T V [B ra]
constr119,mani1292,Locative Indirective Construction,A is optinally marked by the agentive/ergative case. T is optionally marked by the patientive/accusative case. R is in the locative/dative case. This is the basic ditransitive pattern noted by both Bhat & Ningomba 1997 and Chelliah 1997.,ex254;ex421,bhat-ningomba-1997;chelliah-1997,A(-erg) R-loc T(-acc) V
constr120,mani1292,Double Object Construction,"Here R (rather than P) is marked by the patientive/accuative case. T is unmarked (apparently always inanimate in this case). NB: This is a peripheral construction, not attested by Chelliah for basic ditransitives (p. 500; FN37), but noted for derived (causative) ditransitives.",ex255,bhat-ningomba-1997;chelliah-1997,A(ag) R.pat T V
constr121,mani1292,Genitive Indirective Construction,"The BEN argument can be marked by genitive case. T is optionally in the patientive/accusative case, as in the basic pattern. It is more often used with the verbal Benefactive (see ‘Applicative’).",ex256,bhat-ningomba-1997,A(ag) R.gen T(pat) V
constr122,tehu1242,Indirective Pattern (with inflecting verbs),"The subject optionally takes the topic-subject marker. The objects are unmarked. A and R may be cross-referenced by proclitics. T, on the other hand, is marked by (3rd person) gender agreement prefixes.",ex257;ex422,fern-garay-na,A+š R T subj[A].obj[R].obj[T].V
constr123,tehu1242,Secundative Pattern (with non-inflecting verbs),"A, R and T arguments are marked with proclitics if pronominal. The R-marker occurs here immediately before the verb stem, as the P-marker of monotransitives (”dative shifting”).",ex258;ex423,,A+š R T subj[A].obj[T].obj[R].V
