Example_ID,Language_ID,Example_type,Primary_text,Original_orthography,Gloss,Analyzed_text,Translation,Translation_other,Comments,Reference_ID,Reference_pages
150,2293,,O-koruo na maia [i-hu’u].,,3.R-many NOM person [OBJ-give],.,There are lots of people who were given something.,,,335,380
153,1166,,[Minca-ka SENSAYNG-EYKEY chayk-ul tuli-l] sensayng,,[Minca-NOM teacher-to book-ACC give-PROS] teacher,.,The teacher to whom Minca will give a book.,,,339,67
158,2012,,kadeh [mə=ga=yε=jon]?,,who [REL=IMM=1.A=give],.,(It is to) whom that I will give (it)?,,,345,341 (ex.15)
160,275,,kale-an ema-n d-Ø-Ø-io-te-n paper bat-ean irakurr-i d-Ø-u-Ø-ela esa-n d-Ø-Ø-it-Ø,,street-SG.LOC give-PFV 3.ABS-PRS-TR.AUX-3SG.DAT-3PL.ERG-COMP flier one-SG.LOC read-PFV 3.ABS-PRS-TR.AUX-3SG.ERG-COMP say-PFV 3.ABS-PRS-TR.AUX-1SG.DAT-3SG.ERG,.,He has told me that he has read it in a flier which they have given him in the street.,,,349,37
171,422,,[??ngoh sung go bun syu ge] yahn,,[I gave that CLF book REL] person,.,the person I gave that book,,,8,108 (ex.8b)
174,2447,,Mí má hŋ́ dàbē yīí-è bà kē |à’ā (yīí kē) g||ú.,,1SG TOP see children.N3 N3-REL 2SG PST give (N3 TR) water,.,I see the children whom you gave water.,,,333,(ex.11a)
178,673,,nyɔ́núi [ɖè Kɔ̀kú xɛ́lɛ́ xwé ɔ́ ti] ɔ́,,woman [that Koku show house DET Ø] DET,.,the woman (to) whom Koku showed the house,,,189,89 (ex.49c)
181,1657,,bisma haŋ-a kae,,Bisma say-NMLZ son,.,The son who is called Bisma,,,40,55 (ex.25)
184,1755,,Eshkam znagad wii-debnaming iw CHANGE-wii=boodwe-m-g,,? ? ?-? that REL-FUT=burn-INDF-3.SBJ(C),.,It’s getting increasingly difficult to get firewood. (lit. It’s getting increasingly difficult to get that wich one burns(as fuel).),,,362,15 (35c)
186,815,,swíwʔləs kwθə ni ʔám-əs-t-əs ʔə kwθə púkw,,boy DET AUX give-APPL-TR-3SG.SBJ OBL DET book,.,It’s a boy that he gave the book to.,,,366,96 (ex.25)
187,2552,,Izinsizwa [ubaba azinike incwadi] zisebenza kulelibhilidi,,young_men [my:father CRP:them:gave letter] they:work in:this:building,.,The young men to whom my father gave the letter work in this building,,,367,190 (ex.46)
189,1776,,Mɔhesɔ ciṭhi lekh-i-th-iba lokɔ-ṭi-rɔ stri mɔr-i-gɔl-a.,,Mahésa letter write-CVB-AUX-INF person-ART-GEN wife die-CV-V2:go:PST-3SG,.,The wife of the man whom Mahésa had written a letter died.,,,368,391 (ex.4)
190,483,,ŋiúMmíʔH ʔiL kaL-hẽL cúM ʔíL ʔmáMʔĩLM ŋiíHkõM ø,,boy COMP PST-offer.TI.3 3 that.AN pencil to ø,.,that boy who s/he offered a pencil to,,,5379340125,315 (ex.967b)
191,483,,míMŋiíL ʔiL kaL-kuéʔL (ʔiL) ieʔL ø ʔíHmiiʔMH,,pig COMP PST-give.DI.3 (that.AN) elder ø bread,.,(that) pig that the old man gave a bread roll,,,5379340125,314 (ex.965d)
195,1071,,seniŋ kitap ber-gen oquwšI-ŋ,,your book give-PART student-2SG.POSS,.,the student whom you gave the book,,,385,
196,947,,[kimura-san ga Ø inu o ageta] kodomo,,[Kimura-Mr. NOM Ø dog ACC gave] child,.,The child to whom Mr. Kimura gave a dog.,,,388,180 (ex.22)
198,2110,,"Cìnmpyi-cyɛ̀ɛbílá à sànya a wyì ké, pire nàmbaabíí màha m-pa ná vàànyi ì.",,blood.relative-women.DEF to death.announcement.DEF PRF announce REL their(EMPH) men.DEF HAB ITR-come with cloth.DEF with,.,"The female blood relatives to whom the death has been announced, their husbands come with the cloths.",,,390,492 (ex.8a)
204,431,,huni-dan [ən piti inan-ai],,man-TOP [I food give-PRS],.,the man to whom I give food,,,457,
209,1763,,tuk=ak yoʔjwa [tax=nüm-ay-i-:t-ütz-ʔaʔ],,one=AN man [C.1(ERG)=tell-APPL1-COMD-1+2PL-EXCL-NMZR,.,One man that we told it to.,,,398,693 (ex.41a)
210,1817,,ó aadmii [ji(s) ø nüü mãi kataab dittii],,cor man [REL ø DAT.PP I book.F.SG give:PST.F.SG],.,... the man to whom I gave the book ...,,,391,59 (ex.178a)
211,2502,,Ọkùnrin [tí mo fún _ ní ìwé],,man [REL 1SG.SBJ give _ SEC book],.,The man to whom I gave a book,,,850,160
213,2502,,Ọkùnrin [tí mo kọ ìwé sí ],,man [REL 1SG.SBJ write book PREP],.,The man to whom I wrote a latter,,,850,161
215,1253,,lócə̀ àmɛ̂ rwòt òmìò lyèc,,man REL.PART king 3s:give.PFV elephant,.,The man that the king gave the elephant to.,,,403,215 (ex.4)
216,1253,,lócə̀ àmɛ̂ rwòt òmìò lyèc bòté,,man REL+PART king 3s:give.PFV elephant to:3s,.,The man that the king gave the elephant to.,,,403,216 (ex.5)
217,103,,Mala mel sab ut-en (eu) cal m-en.,,chicken boy food 3SG.3SG-REM.PST (that) dead become.3SG-REM.PST,.,The chicken that the boy gave food has died.,,,85,52 (ex.193c)
225,34,,a-xàc’a a-š°q°’ə̀ Ø-z+ə-y-tà(-z) a-pħ°ə̀s də-z-də̀r-we-yt’,,the-man the-book it-to+whom-he-give(-NFIN) the-woman her-I-know-DYN-FIN,.,I know the woman to whom the man gave the book.,,,406,36
228,1263,,o-feil a-ham hide o-la-Ø ga aka o-bo’rea-ol le’laol feol lo-ma-re lo-ne fi vau lo-me,,3SG.POSS-bow(n) 3SG.M.OBJ-for thus 3SG.SBJ-cut-SG.N SG.N.ART then 3SG.POSS-arrow-DU.F two.F 3DU.F.FOC 3DU.F.OBJ-take-NF 3DU.F.OBJ-with 3SG.N.FOC go.out 3SG.S-HAB,.,... he took his bow that (his mother) had made for him and his two arrows and with them he went out.,,,409,254 (ex. 391)
254,7,,etiken bo-ce-n turki,,old_man give-PERF.PART-3SG.POSS sleigh,.,the sleigh that was given by the old man,,,,
256,9,,sirisi’ri ẽrjãwã-’na jere’xwa ‘tsje=asa-hỹ,,ant_eater forest-LOC jaguar grab=leave-NOM,.,that ant eater which the jaguar killed in the forest,,,257,689
260,1972,,kaleko-wa yo-gu saya ye-le-di-ma-wa,,cloth-PM CL1-1SG.P sibling 3SG-give-3PL.OBJ-hither-PM,.,the clothes that my sister gave me,,,334,22
264,3,,[sehr-ra-lai Ø o-ra-e-o] mǝdǝ,,[elder-PL-OBJ Ø 3SG.A-3PL.P-give-NMLZ] wine,.,the wine [which he gave the elders],,,235,206
267,2,,Nua-ni umi-e-ni [men-e gada:-mi] ‘ai-we,,he-3SG drink-PST-3SG [REFL-OBJ buy.PST.PTCP-SS] vodka-ACC,.,He drank the vodka which he bought.,,,234,678
279,2225,,[xachaw me-‘iny]-pu mamwi-a,,[cloth 3/2-give+ORS]-DEM 2+do.what-Q,.,What did you do with the cloth she gave you?,,,78,209
290,15,,bàyndi go gi gìl-iŋ nò go lelé ɗé,,man REF 2.M show-1SG COP REF Lele NEG,.,The man you have shown me is not Lele.,,,264,443
292,16,,nǎŋs˘i thîi chǎn hây (kὲ̀̀ε) khăw,,book REL 1SG give (to) 3SG,.,the book that I gave him,,,,(2)
293,16,,nǎ̀̀ŋs˘i thîi khǎw khǎay man hây (kὲ̀̀ε) chǎn,,book REL 3SG sell 3SG give (to) 1SG,.,the book that he sold to me,,,,(4)
298,18,,igitabo umuhûungu y-a-háa-ye umukôobwa,,book boy he-PST-give.REL-ASP girl,.,the book that the boy gave to the girl,,,138,68
307,22,,Esé-bo Pena-n bake-bo meni-ai r-iki moa-tian no-n axé.,,advice-PL Pena-ERG child-PL.ABS give-PP1:ABS EV-COP already-TEMP 1PL-GEN traditional.knowledge/custom,.,The advice that Pena gives the children is part of our traditional custom.,,,239,530
313,23,,beje va:-na-n homo:ty,,man kill-PTCP-3SG bear,.,the bear killed by the man,,,240,39
314,25,,Mam wac nonon [nana-on] pain quit ca mi’ ma-pa’ pane.,,INS cut 3PL.RP [PL-3SG.M] PREP.3.N knife INFL.N.RPP give 2SG-1SG REM.PST,.,They cut it with the knife that you gave me long ago.,,,230,88 (ex.125b)
322,24,,naaṉ neeṟṟu paar-tt-a paiyaṉ iṉṟu iṅkee va-nt-aaṉ,,I yesterday see-PST-ADJ boy today here come-PST-3SG.M,.,The boy that I saw yesterday came here today.,,,242,296
328,2471,,U toto’i-Øi [Peo-ta jamut-ta ai miika-ka-’u],,the hen-NOM [Pedro-ACC woman-ACC 3SG:ACC give-PFV-CLM],.,The hen that Pedro gave (it) to the woman.,,,501,ex.9b
329,2471,,U toto’i-tai [Peo-ta jamut-ta-u ai nenka-ka-’u],,the hen-NOM [Peo-ACC woman-ACC-DIR 3SG:ACC sell-PFV-CLM],.,The hen that Pedro sold (it) to the woman.,,,501,ex.10b
334,2562,,lawthlawpaa ka-ʔay-ter-mii rool kha ʔa-thuu,,farmer 1SG.SBJ-eat-CAUS-REL food DEIC 3SG.SBJ-stink,.,The food I fed the farmer stinks.,,,161,120
335,2562,,lawtlawpaa ʔan-thloʔ-piak-mii law khaa ka-hmuʔ,,farmer 3PL.SBJ-hoe-AFF-REL field DEIC 1SG.SBJ-see,.,I saw the field they hoed for the farmer.,,,161,121
344,2563,,su=miidɨ ɨmi i=kuhani-kɨ-na sida ʔmani-pɨ,,NOM=meat you.OBL 1=cook-APPL-PTCP bad become-PFV,.,The meat I cooked for you has spoiled.,,,270,286
349,2564,,Ikan jang saja masak untuk Ali tidak enak rasa-nja.,,fish COMP I cook for Ali not good taste-its,.,The fish I cooked for Ali didn’t taste good.,,,278,229 (ex.35a)
350,2564,,Tidak seorang pun suka kepada wanite jang ajah saja kirim-i bunga.,,not someone even like to woman COMP father my send-BEN flower,.,No one likes the woman who my father sent the flowers.,,,278,237 (ex.58a)
352,449,,I puluma [ni gu-in-aiya ña i patgon],,the bird [REL Ø-NOM-love-3SG.POSS the child],.,the bird which the child loved,,,279,46 (ex.82)
356,1179,,taam di kaa ay noo [se],,shoe DEF REL 1SG.SBJ give [A.DAT],.,the shoes which I gave to Abba,,,283,191 (ex. 328a)
361,1893,,pətsa-Ni-zə-p-jy-tɕ fa,,just.now-ADV-DIR-buy-ASP-GEN clothes,.,the clothes just bought,,,285,225
369,2565,,"Nɛɛnɛ Siree on samba-xi naaxan na, i a xani.",,mother Siree 1PL.INCL present-PRF REL with 2SG 3SG send,.,"What mother Siree presented us with, you sent it.",,,322,132
372,2566,,əy-nə ləy-bə upu-du-də sel hap-pu,,I-NOM buy-INF box-that-LOC money put-IMP,.,Put money in the box that I bought.,,,292,281
379,2567,,doŋki-si he Griet si kaɟama ku-a,,donkey-SG REL Griet FUT show 3SG-DAT,.,the donkey Griet will show to him,,,256,192 (ex.76a)
381,2568,,alla-ninngaanniit nassiun-niqar-tu-t,,other-ABL.PL send-PASS-INTR.PART-PL,.,Things sent from elsewhere.,,,325,52
384,1052,,su naphar [yus me yo:r on] gav garɨ.,,that person [REL I:ERG here brought] went home,.,The person whom I brought here went home.,,,326,61
386,1097,,luw pox e:lti mij-әm a:n-әl,,he boy to give-PST.PTCP cup-3SG.POSS,.,the cup he gave to the boy,,,327,86 (ex.217b)
395,632,,balam miraɲ baŋgul yaɽaŋgu budin bagun ᶁugumbilgu ŋaᶁa balgalŋugu,,DET:NOM.III bean.NOM DET:ERG.I man:ERG take.PRS/PST DET:DAT.II woman:DAT 1SG.NOM hit.REL:DAT,.,[The] man is taking beans to [the] woman I hit.,,,332,102 (ex.297)
398,2293,,Te poda i-hu’u-ako-su no-molengo.,,CORE knife OBJ-give-APPL-1SG.POSS 3.R-old,.,The knife that was given to me is antique.,,,335,382
399,2293,,Te baju [i-hu’u-no] o-saori-leama.,,CORE shirt [OBJ-give-3.POSS] 3.R-very-good,.,The shirt given to him is very beautiful.,,,335,379
403,1166,,[ku salam-i John-ul cwu-n] chayk,,[the man-NOM John-ACC give-REL] book,.,The book that the man gave John.,,,339,57
409,275,,"Filologoa ere banaiz, ordea, [behiala eman zidaten] tituluak adierazten duenez.",,philologist also ba:am however [long.ago give AUX.COMP] title.ERG say.IMPF AUX.as,.,"However, I am also a philologist, as the diploma they gave me long ago says.",,,352,776 (ex.1867)
410,275,,Liburu-ak erosi ohi d-it-u-da-n ikasle-entzat gutun-a ekarri d-u-t.,,book-PL buy HAB TENS-ABS.PL-ROOT-1PL.ERG-REL student-BEN.PL letter-ART brought TENS-ROOT-ERG,.,I brought a letter for the students for whom I (use to) buy books,,,355,
420,422,,[ngoh sung keuih ge] go bun syu,,[I give he REL] that CLF book,.,the book I gave him,,,8,108 (ex.8a)
423,2447,,Mí má hŋ́ g||ú kā-è bà kē |à’ā (kā kē) dàbē.,,1SG TOP see water.N4 N4-REL 2SG PST give (N4 TR) children,.,I see the water that you gave the children.,,,333,(ex.11b)
427,673,,xwéi [ɖè Kɔ̀kú xɛ́lɛ́ ti Àsíbá] ɔ,,house [that Koku show Ø Asiba] DET,.,the house that Koku showed Asiba,,,189,89 (ex.50c)
433,1755,,akina giw CHANGE-wiij(i)=anokiim-Ø-ag-ig,,all those REL-with=work-AN-OBJ-1.SBJ(C)-3PL,.,... all of those I work with ...,,,362,15 (35b)
435,815,,níɬ kwθə púkw ni s-ʔám-əs-t-s kwθə swíwʔləs,,3.EMPH DET book AUX NMLZ-give-ADV.A-TR-3.POSS DET boy,.,It’s a book that he gave the boy.,,,366,103 (ex.56)
436,2552,,Indaba [obewungitshela yona] iliqiniso na?,,story [RC.on:were:me:tell it] it:(is):true INTER,.,Is the story that you were telling me true?,,,367,28 (ex.7)
440,483,,ʔíHmiiʔMH (ʔiL) kaL-kuéʔL (hã́uM) ieʔL míMŋiíL ø,,bread (COMP) PST-give.DI.3 (that.IN) elder pig ø,.,(that) bread roll (that) the old man gave the pig,,,5379340125,314 (ex.965c)
444,1071,,[sen ma-Gan ber-gen] kitab,,[you me-DAT give-PART] book,.,the book that you gave to me,,,385,
453,431,,piti-dan [ən mia inan-ai],,food-TOP [I you give-PRS],.,the food that I give to you,,,457,
454,1264,,Memet’i-z na me-ç-ezdort’un k’wantsa,,Mehmet-DAT REL PV-give-PQP.I3P pot,.,the pot they gave to Mehmet,,,399,
456,1763,,jaʔ=k ʔi=pük [ʔi=mo:yʔ-u-ʔaʔ puʔjuyu],,DEF=AN A.3(POSS)=feather [A.3(ERG)=give-COMI-NMZR roadrunner],.,The feathers that the roadrunner gave to him.,,,398,672 (ex.9a)
458,1763,,ta=ʔut-ü-w=ák ʔi:tzümü-nak [ta=mü:+mi:nʔ-aʔx-ü-w-ʔaʔ sa:ra],,B.1(ABS)=like-INV-COMI=AN pig-DIM [B.1(ABS)=bring-APPL1-INV-COMI-NMZR Sara],.,I like the pig that Sara brought for me.,,,398,693 (ex.40b)
459,1817,,...[ó dii ø likhii] (hoii) kataab...,,...[he GEN.F.SG ø write:PST.PPL.F.SG] (being) book.F.SG...,.,...the book which he wrote... (lit. His written book...),,,391,60 (ex.184a)
460,2502,,Ìwé [tí mo fún ẹ _] (*ìwé tí mo fún ẹ ní_),,book [REL 1SG.SBJ give you _] (*book REL 1SG.SBJ give you SEC),.,the book that I gave you,,,850,160
1139,79,,yinem-r yemrë-r-oh wikna-hay-yuk yima-r,,child-3SG.M meat-3-GEN.PL buy-BEN-PURP man-3SG.M,.,a man to buy meat for a child,,,328,113
1140,1133,,st-am-ahó:ba,,INS-1SG.POSS-photograph,.,my photograph/a photo of mine/me,,,329,134 (ex.77)
1148,2293,,Noi-hu’u-akuj te bokuk i wale walel.,,3.REAL-give-1SG.OBJ CORE book OBL shelter RED,.,They gave me a book in the shelter.,,,335,76; (91)
1150,2293,,Noi-hu’u-akuj te bokuk i wale walel.,,3.R-give-1SG.OBJ CORE book OBL shelter RED,.,They gave me a book in the shelter.,,,335,76
1173,2447,,mí má kàlè dȁhmà |à’ā kē g||ú.,,1SG TOP want woman give TR water,.,I want to give the woman water.,,,333,(ex.16b)
1254,7,,hin kunga-du turki-v bo-ce-ve-n haram,,your child-DAT sleigh-ACC give-PART-ACC-3SG know,.,I know that you gave the child the sleigh.,,,,
1287,14,,to nikiasma tu spitiu,,the.NOM rental.NOM the.GEN house.GEN,.,the rental of the house,,,233,(ex.17)
1289,14,,i dhidhaskalía tis ílis OR: i dhidhaskalía ton fititón,,the teaching the course.material.GEN.SG / the teaching the students.GEN.PL,.,the teaching of the course-material OR: the teaching of the students,,,233,(ex.18)
1299,2560,,a vadász le-löv-és-e,,the hunter down-shoot-NMLZ-POSS,.,the shooting of the hunter,,,272,355
1303,20,,qvabil-eb-is micema mzias-tvis vano-s mier,,flower-PL-GEN give.NMLZ Mzia-for Vano-GEN by,.,Vano’s gift of the flowers to Mzia,,,500,157 (extracted)
1308,2559,,ngada kurri-jarra niwan-jina kurdama-n-kina nguku-naa-ntha wuruman-urru-naa-nth,,1SG.NOM see-PST 3SG-M.ABL drink-NMLZ-M.ABL water-M.ABL-AOBL billy-ASS-M.ABL-AOBL,.,I saw him drinking water in the billy.,,,211,112
1361,1893,,qa the:-tɕ ləɣz de-le-m le:,,1SG 3SG-GEN book DIR-give-NOM DEF.CL,.,the person to whom I gave a book,,,285,224
1383,1052,,mohnɨn’ yi philim vuchɨn’ chu mumkin.,,Mohan:GEN this film seeing be possible,.,Mohan’s seeing this film is possible.,,,326,53
1389,79,,yinem-r-ho yemrë-wikna-hay-yuk yima-r,,child-3SG.M-GEN meat-buy-BEN-PURP man-3SG.M,.,a man to buy meat for a child,,,328,113
1398,2293,,hu’u-ka-no nu iaku nu bokuj,,give-NMLZ-3.POSS GEN 1SG GEN book,.,their giving of a book of me,,,335,76; (91)
1423,2447,,mí má kàlè g||ú |à’ā (kē) dȁhmà.,,1SG TOP want water give (TR) woman,.,I want to give the woman water.,,,333,(ex.16a)
1442,661,,Kofí fé ga ná-ná Amí,,Kofi POSS money RED-give Ami,.,Kofi’s giving money to Ami.,,,370,150 (ex.11a)
1454,1264,,yahudi-shi oxori-sha i-gzal-u ambaya-shi me-ç-u-sha,,Jew-GEN house-ALL MP-go-AOR.I3S new-GEN PV-give-VN-ALL,.,She went to the Jew’s house to give him the news.,,,399,
1474,34,,? darà rə̀-la s-wə̀-ta-ra,,? they them-by my(COL.II.DO)-to.you(COL.II.IO)-give-MASD,.,their giving me to you (lit. my giving to you by them),,,406,112
1475,1,,Nee tumiini uukari ne-wa-ruzeiyastIa.,,I money girls 1SG.SBJ-3PL.OBJ-show,.,I showed the money to the girls.,,,232,108
1476,921,,Luca ha offerto un posto a Clelia.,,Luca has offered a job to Clelia,.,Luca offered a job to Clelia.,,,,...
1477,651,,I gave my sister an umbrella.,,I gave my sister an umbrella,.,I gave my sister an umbrella.,,,,...
1478,11,,...weil ich meiner Schwester einen Regenschirm gegeben habe.,,because I my.DAT sister.DAT an.ACC umbrella.ACC given have,.,...because I gave my sister an umbrella.,,,,...
1479,7,,Etiken kunga-du turki-v bon.,,old_man child-DAT sleigh-ACC gave,.,The old man gave a sleigh to/for the child.,,,,
1480,7,,Etiken kunga turki-ga-n bon.,,old_man child slade-DES-3SG.POS gave,.,The old man gave a slade to/for the child.,,,,
1481,9,,dodotxi’mũ wa’ja-da-ki Ba’hOzO-na (*’mariju(-wã)),,kerosene bring-1SG-DECL Barroso-LOC (*Mario(-AO)),.,I brought kerosene to Barroso (*for Mario).,,,257,113
1482,1972,,Ya-mose-i-di-ko ka-gu kaha-wa unai,,1SG-give-APP-3PL.OBJ-PERF POSS.CLF-my sister-DET POST,.,I gave them to my sister.,,,334,301
1483,1972,,Bosa kesega ye-mose-i-di,,basket one 3SG-give-APP-3PL.OBJ,.,He gave them one basket.,,,334,300
1484,1972,,Ya-mose-i-di-ko ka-gu kaha-wa,,1SG-give-APP-3PL.OBJ-PERF POSS.CLF-my sister-DET,.,I gave them to my sister.,,,334,302
1485,1972,,Bosa kesega ye-le-ya-ma.,,basket one 3SG-give-3SG.OBJ-hither,.,(He) gave me/us one basket.,,,334,304
1486,2,,Ni sine-we matematika-wa ñumnisi-e-ni?,,who you-ACC math-ACC teach-PST-3SG,.,Who has taught you math?,,,234,526
1487,2,,Aziga mafa-na-ni gen-e-mi.,,girl husband-DEST-3SG fetch-0-1SG,.,I am going to fetch a husband for the girl.,,,234,601
1488,1387,,bàba gěi wǒ qián,,papa give I money,.,Papa gives me money.,,,261,365
1489,3,,gaola-e ge-lai gukhi tubu tubu ya-si-ke-o,,shepherd-ERG us-OBJ guard_dog one one give-1PL-PFV-3SG,.,The shepherd gave us each a watch dog.,,,235,249
1490,651,,Kim gave a book to Pat.,,Kim gave a book to Pat,.,Kim gave a book to Pat.,,,,
1491,3,,no-e ŋa-lai o-bǝnduk sǝtǝĩ-d-y-ã:-ke-o,,he-ERG me-OBJ 3SG-gun show-NF-BEN-1SG.O-PFV-3SG,.,He showed me his gun.,,,235,248
