Construction_ID,Construction_name,Construction_schema,Description,Language_ID,Construction_meanings::Meaning_ID,Construction_examples::Example_ID,Construction_references::Reference_ID,Construction_references::Pages
48,Ditransitive Construction,A-erg V T R,"Free word order, and no (or absolutive) case-marking on both T and R. Guillaume argues that this is a “true” double-object construction because there are no coding or behavioural properties that distinguish T and R.",17,2,1522,201,
,,,,,,1750,,
49,Double object construction,[A subj[A].V R T] –,"T and R are both unmarked postverbal noun phrases, with R preceding T as noun phrases (p. 11), and with T preceding R as pronominal prefixes (p. 181). Either T or R may be made subject of the passive (p. 65, p. 127). Either T or R can appear as reflexive prefix (but can both simultaneously? examples only for R) (p. 66). Object-subject reversal, which applies to P, applies to neither T nor R (p. 145). Both T and R can be left-topicalized, including simultaneously - in the example given, the order is R before T; R and T cannot both be right-topicalized simultaneously (p. 203), though presumably either of them can individually. Indexing and noun phrase are usually in complementary distribution for non-subjects, but indexing is obligatory under topicalization.",18,2,1523,,
,,,,,,1751,,
50,Dative construction,A V.obj[T] T-acc R-dat,Object agreement (definite conjugation) occurs only with definite objects.,2560,2,1524,272,
,,,,,,1752,,
,,,,,,3804,,
51,Allative Construction,A subj[A].V.obj[T] T-obj R-(gen)-all,"T (and P) - if speech act participants (1st/2nd) - are cross-referenced by enclitics.
The allative case on R in combination with the genitive only occurs, if R is animate.
NB: Object agreement indexes T.
When the third argument is a source rather than a recipient, it takes ablative case (cf. the example 'They stole the chief from the people').",19,2,1525,86,
,,,,,,1753,,
,,,,,,1526,,
,,,,,,2437,,
53,Double Object Construction,A subj[A].V.obj[R] T R-obj,The object agreement indexes R. R takes the objective case.,19,2,1527,86,
54,Present Series Construction,"A-NOM T-DAT R-DAT R-V-A
A.NOM T.NOM R.DAT r-V-a/s","A carries the nominative,T and R the dative case. The verb agrees separately with A and R (but agreement with R is often zero for third person). T can only be third person, for which the agreement marker is zero anyway; I assume that there is no agreement with T. Note that 1st/2nd person independent pronouns have the same form for all of nominative, dative, ergative, but core arguments are usually omitted, if they are unemphatic.",20,2,1528,,
,,,,,,1756,,
,,,,,,7526,,
55,Aorist Series Construction,A-erg T-nom R-dat obj[R].V.subj[A],"A carries the ergative, T the nominative, and R the dative case. The verb agrees separately with A and R (but agreement with R is often zero for third person). T can only be third person (for which the agreement marker is zero anyway). I assume that there is no agreement with T. Note that 1st/2nd person independent pronouns have the same form for all of nominative, dative, ergative, but core arguments are usually omitted, if they are unemphatic.",20,2,1529,,
,,,,,,1757,,
56,Perfect Series Construction,A-dat T-nom R+tvis subj[A].V.obj[T],"A carries the dative and T the nominative case, and R is marked by the suffixed postposition -tvis. The verb agrees with A (but “Indirect Object” marker; in third person often zero) and with T (but “Subject” marker). Note that 1st/2nd person independent pronouns have the same form for all of nominative, dative, ergative, but core arguments are usually omitted, if they are unemphatic. R marked with -tvis is not a core argument (“term”) and may not be omitted in this way.",20,2,1530,,
,,,,,,1758,,
57,Double Object Construction,[A R T subj[A].V.obj[R]] –,"The core arguments are unflagged. In ditransitives, the postverbal object marker indexes the R.",21,2,1531,145,
,,,,,,1759,,
58,Double Object Construction,[A-erg R-abs T-abs V] –,"“Symmetrical objects”: There is no evidence for indirective or secundative alignment, either in coding or in syntactic behavior (p. 527-528)",22,2,1532,239,
59,Locative Construction,A-nom T-mod/obj R-loc V,"T (as P)  is marked by “modal cases”, which also express TAM information. T (as P) changes a (modal) oblique case to nominative with imperatives.
Use: “emphasis on change of position”",2559,2,1533,211,
60,Proprietive Construction,A-nom T-prop R-obj V,"R (as P) is marked by “modal cases” (see Locative Construction). T is marked by “proprietive” (having-instrumental) case.
Use: “for important gifts / contractual exchange”",2559,2,1534,211,
61,Dative Construction,A-nom T-mod/obj R-vdat V,"R is marked with the “verbal” dative (historically serial verbs / noun-verb compounds), which additionally takes verbal inflections. T is marked with “modal cases” (see Locative Construction).
Function: “for the immediate benefit of R”",2559,2,1535,211,
62,Proprietive-Dative Construction,(A-nom) T-prop R-vdat V,"R is marked with the “verbal” dative (see dative construction). T is marked by the “proprietive” case (see Proprietive Construction).
Function: “for small gifts”",2559,2,1536,211,
63,Donative Construction,(A-nom) T-vdon R-mod/obj V,"T is marked with the “verbal” donative (see dative construction on verbs; cases). Functionally, the donative is similar to the (nominal) proprietive. 
Function: “gifts out of kindness or solace”",2559,2,1537,211,
64,Dative construction,A-nom R-dat T-acc V.subj[A],"This is the basic construction for ditransitive verbs. The R is in the dative and T is in the accusative case (or in the reflexive possessive form). Indexing is neutral, as there is only subject agreement and no object agreement.",23,2,1538,240,"67, 147"
65,Secundative construction,V=a+r/p con T R A,"The secundative construction with T introduced by the “general” preposition con. Object agreement is part of a “verbal inflectional complex” (VIC), which expresses transitive agreement (and also TAM). In a secundative construction, object agreement refers to R. This construction is used when P/T is definite.",25,2,1539,230,
66,T-incorporating construction,V.subj[A].obj[R] T R A,"If T/P is indefinite, it may be left unmarked (no preposition used). Indexing (agreement) remains secundative though.",25,2,1540,230,
67,Locative-directive construction,A-nom R-loc-dir T-acc V.subj[A],"With some verbs, the dative alternates with the locative-directive.",23,2,1541,240,
,,,,,,1769,,
68,Allative construction,A-nom R-all T-acc V.subj[A],"With verbs of speech, the addressee carries allative case. Note also that with some verbs (like 'ask'), the source argument is marked  by ACC~ABL (Nedjalkov 1997: 68, ex. 280).",23,2,1542,240,
69,Destinative construction,A.nom  [R T.acc.ind-poss[R]] V-subj[A],"In this construction, the indefinite accusative is obligatorily followed by the possessive suffixes that cross-reference the R argument (yielding a construction with NP-internal R). Note that this construction is also available for verbs of creation where the internal possessor encodes a beneficiary.",23,2,1543,240,
,,,,,,1771,,
70,Dative Construction,R-dat T-acc V.subj[A],There is also restricted object agreement for 1st person objects.,1903,2,1544,241,
,,,,,,1772,,
71,Benefactive Construction,RBEN TACC V-agr/S,"-paj can also express possessor (see p. 115, ex. 455).",1903,2,1545,241,
72,Double Object Construction,RACC TACC V-CAUS-agr/S,Double Object Constructions are only formed by causatives (derived ditransitives).,1903,2,1546,241,
,,,,,,1774,,
73,Dative Construction,R-dat T-acc V.subj[A],"R (in dative case) is used for  permanent (change of) possession (cf. the locative construction).
On DOM (ACC ~ zero O) see monotransitive flagging.",24,2,1547,242,
74,Locative Construction,A R-loc T(-acc) V.subj[A],R (with locative case) is used for temporary (change of) possession.,24,2,1548,242,"31, 39-41"
75,Benefactive Construction,RDAT+BEN TACC/Ø V-agr/S,See “flagging” for details on BEN marking.,24,2,1549,242,35-36
76,Directional Double Marking Construction,(A) AGRa-V=AGRio=AGRo T=DIR R,"Here both R and T are marked by agreement markers: Agreement with R is marked by pronominal clitics and precedes object agreement; object agreement (=P/T) is expressed by demonstrative-like (”attitudinal”) pronominal clitics.
NB: The DIR-clitic modifies R, but may attach to a preceding word (T in ex. 1778). 
Locative clitics are grammaticalized motion verbs, which can alternatively be used instead (see serial construction).",2558,2,1550,229,
,,,,,,1778,,
77,Directional Serial Construction,(A) AGRa-V=AGRo T AGRs-Vmov R,"This construction is a less grammaticalized version of the directive construction (cf. ex. 259b, p. 228, under double-marking construction, and 259a). Engelenhoven (2004) calls it ‘explicit encoding’, where direction is encoded by a serial verb rather than a more grammaticalized clitic.",2558,2,1551,229,
78,Double Accusative Construction,A-nom R-acc T-acc V,"Not only R of canonical ditransitives, but also beneficiaries (and malefactive experiencers) are encoded by accusative. Typical ditransitive verbs like yungku ’give’, kulyuma.l- ’give in return’, but also verbs with benefactive or malefactive arguments (murnta.l- ’take from’) occur in the Double Accusative construction.",1426,2,1552,411,67
,,,,,,1780,,
79,Double-Accusative Construction,R-acc T-acc obj[R/T].V,Both T and R carry accusative case. The verb may take the object proclitic to agree with either object (preferentially with those which are omitted/topicalized or dislocated).,2471,2,1553,1,
,,,,,,1781,212,
80,Postpositional Construction,[R u] T.acc (p/t=)V,"In this construction, T is in accusative case, and R is “dative” -ta-u (actually a combination of ACC and directional postposition). The verb may take an object proclitic, or a dative proclitic. 
Apart from the dative, there is also a benefactive construction, with the beneficiary marked by the postposition betchi’ibo ‘for’ for external beneficiaries.",2471,2,1554,1,
,,,,,,1782,,
81,Dative construction,A-erg R-dat T-abs V.obj[R].subj[A],"R carries the dative and T the absolutive case. The verb indexes A and R, but not T.",2556,2,1555,231,6
,,,,,,1783,,
82,Double Object Construction,A V T R,The double object construction is used with canonical ditransitives in alternation with the prepositional construction. It cannot be used if T is heavy; in that case only the prepositional construction is used.,16,2,1556,202,
,,,,,,1745,,
83,Double-Object construction,A V R T,"Both R and T are unmarked. R follows the verb immediately. Either R or T can be indexed on the verb, but not simultaneously.",2116,2,1557,33,311
,,,,,,1785,,
84,Basic ditransitive construction,A R T subj[A].obj[R].V,Alignment is secundative in agreement. Case alignment is neutral; both objects are apparently caseless (no full-NP recipient given).,2562,2,1558,161,
85,Causative secundative construction,A R T AGRs-AGRo=r-V-CAUS,,2562,2,1787,161,
,,,,,,2470,,
86,Benefactive secundative construction,A R T AGRs-AGRo=r-V-BEN,"Benefactive (“affected O”) construction with different uses:  Benefactive/malefactive/substitutive. Some basic constructions (without BEN) may also allow for BEN encoding as object (by object agreement). Otherwise, BEN is encoded through a postpositional phrase.",2562,2,1560,161,
87,Monotransitive indirective pattern,(A)  O AGRs-AGRo=t-V,R cannot be mentioned here at all (neither as IO nor as an oblique PP).,2020,2,1561,246,
,,,,,,,32,
88,Monotransitive secundative,(A)  O AGRs-AGRo=r-V,R is marked as P. T cannot be mentioned at all.,2020,2,1562,246,
89,Ditransitive indirective pattern,(A)  R O AGRio=r-AGRs+AGRo=t-V,IO agreement refers to R here. DO agreement refers to T.,2020,2,1563,246,
,,,,,,7517,,
90,Indirective transitive postpositional,(A)  O R=loc AGRs+AGRo=t-V,R is expressed as an oblique postpositional phrase and is not marked by the agreement.,2020,2,1564,246,
91,Ditransitive secundative with T-“chomeur”,A R T a-r=p-V,"Less common construction with no flagging and P-like indexing of R. T is not postpositional, yet according to Marlett, it is is neither DO nor IO, as it is not indexed by agreement, hence a “chomeur”.",2020,2,1565,246,
92,Secundative inverse (labile),(A)  R(sg) O AGRio=t-AGRs-AGRo=r-V,"This pattern has an inverse alignment in that R is cross-referenced by DO agreement and T by IO agreement.
This pattern is labile (number sensitive) in that it only admits R in the singular.",2020,2,1566,246,
,,,,,,6776,,
93,Double oblique inverse (labile),(A)  R(pl)=loc O AGRio=t-a-V,"The same verbs as in Secundative inverse, but if R is plural, it is encoded as oblique.
NB: Hierarchy Effects: R is encoded (promoted) to O only if in singular; otherwise it stays a PP.",2020,2,1567,246,
95,Double Oblique Construction,(A-nom) T-obl R-obl obj[R].V,"Both T and R are marked by the oblique (object) prefixal case ka-. Additionally, pronominal Rs are marked by proclitics on the verb.
This is a basic ditransitive pattern.",2563,2,1569,270,
,,,,,,1797,,
96,Inverse Indirective Construction,(NOM=A) R=tu (t/p)-V,"Used only when T (1/2 pronoun) is higher than R on the animacy hierarchy. Then R/BEN is introduced by the locative postposition -tu, while (pronominal) T is marked on the verb.",2563,2,1570,270,
98,Postpositional Indirective Pattern,t/p/s-a-V T [pos-u?un R] (A),"May be a variant of the monotransitive pattern, with R expressed as a possessor within a prepositional phrase (headed by the possessed noun stem u?un ‘for’).",2323,2,1572,23,
,,,,,,,271,
99,Double Object Secundative Construction,r/p/s-a-V-APPL  T  R (A),"All arguments are unmarked. The verb takes the applicative marker 
-be-. The absolutive agreement cross-references R.
NB: GIVE also obligatory takes the applicative marker in a ditransitive construction.",2323,2,1573,23,
,,,,,,1801,271,
100,Prepositional R construction,A (TRANS-)V T Prep (kepada) R,"A/S and P are unmarked. R appears as a prepositional object (prepositions kepada ‘to’, untuk ‘for’, etc.). Transitive verbs include the transitive prefix men-.",2564,2,1574,284,
,,,,,,1802,,
101,Applicative secundative construction,A (TRANS-)V-BEN R T,"Here the verb takes additionally (apart from the transitive prefix) the benefactive applicative suffix 
-kan or the directional applicative suffix -i.",2564,2,1575,278,
,,,,,,1803,,
102,Basic secundative construction,A (TRANS-)V R T,This construction occurs with a few verbs (with “zero applicative”) only.,2564,2,1576,278,
103,Indirective Prepositional Construction,(A) subj[A].V T para+R,P/T is unmarked. R is introduced with the preposition para. There is no indexing except for the transitive subject.,449,2,1577,280,
,,,,,,,279,
104,Secundative Applicative Construction,(A) a-V-APPL T  R  (OBL) T,"Dative shift: The verb is marked by the applicative –I. R is shifted. T is unmarked if indefinite, or demoted to OBL if definite (marked by OBL articles: ni (common) ~ as (proper)).
Also GIVE historically includes the applicative marker.",449,2,1578,279,
,,,,,,1806,280,
105,Indirective (with T incorporation),A a+t/p(T+)V R-ay,"T is (usually) incorporated. R is marked by the enclitic =‘ay.
NB: The indirective pattern usually uses T-incorporation, yet unlike secundative pattern, but like  the monotransitive pattern, T-incorporation is not obligatory (no examples with T expressed as a free NP are given though).",2239,2,1579,282,
,,,,,,1807,,
106,Secundative with T incorporation,A a+r+t(T+)V R,"T is obligatorily incorporated. A, R and T are indexed on the verb. R is unmarked and is the prime object.",2239,2,1580,282,
,,,,,,1808,,
107,Indirective Prepositional Construction,A V T R+se,R is introduced with the dative preposition se when T is more topical (e.g. pronominal) than R.,1179,2,1581,283,
,,,,,,1809,,
108,Shifted Prepositional Construction,A V R+se T,Dative marked R is shifted to the postverbal position when it is more topical (e.g. pronominal) than T.,1179,2,1582,283,
109,Double Object Construction,A V R T,"This construction is possible only for a few canonical ditransitive verbs like noo ’give’ when R is pronominal. R-promotion in a double object construction is obligatory for 1/2 SG pronouns, and preferred if R is (another) pronominal and if T is an NP.",1179,2,1583,283,
,,,,,,1811,,
110,Indirect object construction,A V.subj[A].(obj[T]).(obj[R]) T lil+R,,1371,2,1584,904,
,,,,,,1812,,
111,Dative Construction,A R-dat T V.obj[R].subj[A],"R is marked with the dative/locative postposition =tA. The object agreement (otherwise optional) refers to R. Object agreement preferentially targets topical objects (R, P).
R-marking may be optional (see ex. 1813) (only if disambiguated by AGRs?).",1893,2,1585,285,
,,,,,,1813,,
112,Genitive Construction,A R-gen T V.obj[R].subj[A],"R/BEN takes genitive case. Yet it is not a possessor, since the order can be changed (unlike in possessive constructions). 
The same marking occurs in benefactive constructions.",1893,2,1586,285,
,,,,,,1814,,
113,Double Object Construction,A R-acc T-acc V,"Both R and T are marked by the accusative case. There is no agreement on the verb. The word order is variable. If R is postverbal, it is optionally case-marked.",2298,2,1587,286,
,,,,,,1815,,
114,Double Object Applicative Construction,[(A) R.obj T.obj V-APPL] –,"[(A) R.obj T.obj V-APPL] – As in the basic construction, both R and T are marked by the accusative case. The verb takes the applicative suffix. Productive with Beneficiaries: buy-for, kill-for, did-for (p. 117).",2298,2,1588,286,
115,Dative construction,[A-nom R-dat T V] –,"The R is marked with dative case, a case that also expresses direction and ‘(talk) to’.",2384,2,1589,287,12
,,,,,,1817,,
116,Ditransitive construction,A-nom R-obl T V,check,950,2,1590,288,
,,,,,,1818,,
117,Double Object construction,,,2433,2,,188,
,,,,,,,38,
118,Locative Indirective Construction,A T V R+ma,A and T are unmarked. R is introduced as an oblique with the postposition ma ’at’.,2565,2,1592,322,
,,,,,,1820,,
119,Locative secundative construction,A R V T+ma,"A and R are unmarked. T is introduced as an oblique with the postposition ma ’at’ (which is the same postposition as in the indirective pattern). Apart from R arguments, the Source  may also appear in this construction with verbs like ‘steal’ (which also allow for the indirective pattern).",2565,2,1593,322,
,,,,,,1821,,
120,Instrumental secundative construction,A R V T+ra,"Unlike the previous pattern, T is introduced with the instrumental postposition ra.",2565,2,1594,322,
121,Instrumental indirective construction,A T V R+ra,"With the verb SHOW, R is  exceptionally introduced by the instrumental postposition ra.",2565,2,1595,322,
122,Benefactive Indirective Construction,A T V [B ra],"With verbs of speech, R is marked by the benefactive postposition bE.",2565,2,1596,322,
123,Locative Indirective Construction,A(-erg) R-loc T(-acc) V,A is optinally marked by the agentive/ergative case. T is optionally marked by the patientive/accusative case. R is in the locative/dative case. This is the basic ditransitive pattern noted by both Bhat & Ningomba 1997 and Chelliah 1997.,2566,2,1597,292,
,,,,,,1825,294,
124,Double Object Construction,A(ag) R.pat T V,"Here R (rather than P) is marked by the patientive/accuative case. T is unmarked (apparently always inanimate in this case).
NB: This is a peripheral construction, not attested by Chelliah for basic ditransitives (p. 500; FN37), but noted for derived (causative) ditransitives.",2566,2,1598,292,
,,,,,,,294,
125,Genitive Indirective Construction,A(ag) R.gen T(pat) V,"The BEN argument can be marked by genitive case. T is optionally in the patientive/accusative case, as in the basic pattern. It is more often used with the verbal Benefactive (see ‘Applicative’).",2566,2,1599,292,
126,Indirective Pattern (with inflecting verbs),A+š R T subj[A].obj[R].obj[T].V,"The subject optionally takes the topic-subject marker. The objects are unmarked. A and R may be cross-referenced by proclitics. T, on the other hand, is marked by (3rd person) gender agreement prefixes.",2181,2,1600,293,
,,,,,,1828,,
127,Secundative Pattern (with non-inflecting verbs),A+š R T subj[A].obj[T].obj[R].V,"A, R and T arguments are marked with proclitics if pronominal. The R-marker occurs here immediately before the verb stem, as the P-marker of monotransitives (”dative shifting”).",2181,2,1601,,
,,,,,,1829,,
128,Basic Secundative Construction,(art) A [V +r/p] (obl) R (obl) T,"A is introduced by the direct articles. R and T may be introduced either by direct or oblique (object) forms of articles, depending on person of objects and subject (see flagging). R is encoded similarly to P in terms of word order, case and indexing.
Indexing through special object clitics (in some cases through imperfective agreement), usually in agreement with subject (see indexing).

Other comment:

Inversion effects in ditransitive construction: the form of the secondary O (T), depends on the person of A and R (primary O). (cf. similarly, the form of primary O depends on the person of subject; see monotransitives). 

Note the inversion effects in a ditransitive construction: if both A and R are SAP pronouns (1,2), then T (the secondary O) remains in the DIR form; otherwise it takes the OBL article:
(19) Enaa pasi vaasus avameam a meha taba
1SG will teach OBJ.2PL.IMM DIR.ART other thing
‘I will teach you another thing’
(20) Me paa pasi vaasusu ri (bari) bona meha taba
and TAM teach OBJ.3PL (OBJ3SG) OBJ.ART other thing
‘And he taught them another thing’
NB in (19) T is in DIR since A is a SAP pronoun; in (20) T is marked by OBJ article (and optionally introduced by the OBJ form of the 3rd person pronoun; called 4th person pronoun by M).",2191,2,1602,466,
,,,,,,1830,,
129,Benefactive Indirective Construction,[A [V-t/p] (OBL) T [ki OBL R]],"T/P is a primary object, and BEN is an adjunct introduced by the dative preposition ki (the prepositional object is, as elsewhere, with the oblique article). Note that the latter construction can be transformed into the secundative by preposition incorporation (see applicative construction).",2191,2,1603,321,
130,Double Object construction,[A V R-dat T] –,The R carries the dative (suffix -a) but always precedes the T. The T is not introduced by a linker (Collins 2004 finds this remarkable).,2567,2,1604,256,183-194
,,,,,,1832,,
