Example_ID,Language_ID,Example_type,Primary_text,Original_orthography,Gloss,Analyzed_text,Translation,Translation_other,Comments,Reference_ID,Reference_pages
50,2560,,"Itt van a fiú, aki-nek Anna felolvasta a könyvet.",,here is the boy who-DAT Anna PFX.read.DEF the book.ACC,"Itt van a fiú, aki-nek Anna felolvasta a könyvet.",Here is the boy to whom Anna reads the book.,,,272,42
57,21,,áine /ʔúsi ʔu-zaza-ø-n-í-ŋe/ go-itíʔin-a,,woman loin_cloth 2SG.RL-buy-3PL.OBJ-BEN-3SG.OBJ-RES.PRO 2SG.IRR-show.to-1SG.OBJ,áine /ʔúsi ʔu-zaza-ø-n-í-ŋe/ go-itíʔin-a,Show me the woman you bought the loincloths for.,,,145,557
58,22,,Bake-bo Pena-n esé-bo meni-ai r-iki jawen baba-bo.,,child-PL Pena-ERG advice-PL:ABS give-PP1:ABS EV-COP 3.POSS grandchild-PL,Bake-bo Pena-n esé-bo meni-ai r-iki jawen baba-bo.,The children to whom Pena is giving advice are her grandchildren.,,,239,530
64,23,,Beje anty-du bi purta-va bu:-che-v suru-che-n.,,man which-DAT I knife-ACC.DEF give-PST-1SG go.away-PST-3SG,Beje anty-du bi purta-va bu:-che-v suru-che-n.,The man (to) whom I gave the knife went away.,,,240,40
65,25,,Mon [ma'-on] ma’ tarama’ co mi’ ta’ con hwam pane.,,that:PROX:hearer.M [that:PROX:hearer-M] that:PROX:hearer man INFL:M/F.RPP give 1s PREP:3SG.M fish REM:PST,Mon [ma'-on] ma’ tarama’ co mi’ ta’ con hwam pane.,There is the man to whom I gave a fish.,,,230,88 (ex.125d)
70,1903,,[Juzi Ø kulki-ta kara-na] warmi,,[José Ø silver-ACC give-NMLZ] woman,[Juzi Ø kulki-ta kara-na] warmi,the woman to whom José gave money,,,241,54 (ex.182b)
77,2558,,aan-ku=ra müem-ele ïaklu la=e,,children-1SG=PL RED.2SG-give.DEX top.DEX DIR=DEX,aan-ku=ra müem-ele ïaklu la=e,my children to whom you give the playing-top,,,229,229
79,2471,,U jamut-Øi [Peo-ta toto’i-ta ai miika-ka-’u],,the woman-NOM [Pedro-ACC hen-ACC 3SG:ACC give-PFV-CLM],U jamut-Øi [Peo-ta toto’i-ta ai miika-ka-’u],The woman to whom Pedro gave (her) the hen.,,,501,ex.9c
80,2471,,U jamut-tai [Peo-ta toto’i-ta a-ui nenka-ka-’u],,the woman-NOM [Peo-ACC hen-ACC 3SG-DIR sell-PFV-CLM],U jamut-tai [Peo-ta toto’i-ta a-ui nenka-ka-’u],The woman to whom Pedro sold the hen (to her).,,,501,ex.10c
85,2562,,rool ka-ʔay-ter-mii lawthlawpaa ka-hooy ʔa-sii,,food 1SG.SBJ-eat-CAUS-REL farmer 1SG.POSS-friend 3SG.SBJ-COP,rool ka-ʔay-ter-mii lawthlawpaa ka-hooy ʔa-sii,The farmer I fed is my friend.,,,161,120
86,2562,,lawt ʔan-thloʔ-piak-mii lawtlawpaa khaa ka-hmuʔ,,field 3PL.SBJ-hoe-AFF-REL farmer DEIC 1SG.SBJ-see,lawt ʔan-thloʔ-piak-mii lawtlawpaa khaa ka-hmuʔ,I saw the farmer they hoed the field for.,,,161,120
95,2563,,su=nana i=tɨ-kuhani-kɨ-na ɨ=supitakwatu,,NOM=man 1=ANTIP-cook-APPL-PTCP 2=know,su=nana i=tɨ-kuhani-kɨ-na ɨ=supitakwatu,The man I cook for knows you.,,,270,285
100,2564,,*Wanita itu saja kirim surat itu (kepada).,,woman the I send letter the (to),*Wanita itu saja kirim surat itu (kepada).,That woman I sent the letter to.,,,278,238 (ex.61a)
101,2564,,*Saja me-lihat surat jang Ali kirim-i kakak saja.,,I TR-see letter COMP Ali send-BEN sibling my,*Saja me-lihat surat jang Ali kirim-i kakak saja.,I saw the letter that Ali sent my sister.,,,278,240 (ex.69a)
104,449,,Hu-tungo’ i lahi hayi f-in-ahan-i-ña si Juan i kareta.,,ERG.1SG-know the man who Ø-NOM-buy-PRM-3SG.POSS UNM John the car,Hu-tungo’ i lahi hayi f-in-ahan-i-ña si Juan i kareta.,I know the man John bought the car for.,,,279,177
107,1179,,har di kaa se ay noo njerfu di,,man DEF REL DAT 1SG.SBJ give money DEF,har di kaa se ay noo njerfu di,the man to whom I gave the money,,,283,192 (ex.329a)
109,1179,,?#har di kaa ay noo njerfu di,,man DEF REL I give money DEF,?#har di kaa ay noo njerfu di,the man to whom I gave the money,,,283,192 (ex. 330a)
112,1893,,qa-wu-panə-dele-m mi,,1SG-ERG-thing-give-NOM person,qa-wu-panə-dele-m mi,the person to whom I gave something,,,285,227
115,2384,,mi ce k’ew-thu taka? ma-hes-ta (ce) ah naw-ta?,,2SG DEM man-DAT basket DIR-give-PST.DEP (DEM) 1SG.NOM see-PST,mi ce k’ew-thu taka? ma-hes-ta (ce) ah naw-ta?,I saw the man you gave the basket to.,,,287,117
123,2566,,ә-hәn oy-lә́́bә nu-pa-tu-nә ŋá-lú-pák pí-lәm-pә nu-pi-tu әy-ki nu-pi-ni,,ATTR-old be-HAVING person-M-DDET-CONTR fish-trap-broad give-EVD-NOM person-F-DDET 1SG-GEN person-F-COP,ә-hәn oy-lә́́bә nu-pa-tu-nә ŋá-lú-pák pí-lәm-pә nu-pi-tu әy-ki nu-pi-ni,The woman to whom the basket of fish was given by the man who is old is my wife.,,,294,158
130,2567,,|eeki he Griet si ʔãa ɦa si doŋki-si,,woman REL Griet FUT give 3SG(RESUMP).DAT 1PL donkey-SG,|eeki he Griet si ʔãa ɦa si doŋki-si,the woman Griet will give our donkey to,,,256,191 (ex.72a)
132,2568,,nukappiaaraq Maalia-mit qimmi-mik tuni-saa-juma-suq,,boy Mary-ABL dog-INS give-PASS-want-INTR.PART,nukappiaaraq Maalia-mit qimmi-mik tuni-saa-juma-suq,the boy who wanted to be given a dog by Mary,,,325,53
135,1052,,su naphar [yas me gər dits] gav garɨ.,,that person [REL.DAT I:ERG watch gave] went home,su naphar [yas me gər dits] gav garɨ.,The person whom I gave a watch went home.,,,326,61
136,1097,,(naŋ) a:n mij-əm pox-e:n e:wəlt,,(he) cup give-PST.PTCP boy-3SG.POSS about,(naŋ) a:n mij-əm pox-e:n e:wəlt,about the boy to whom you gave the cup,,,327,77
139,79,,ɨnd ø nëm maroham hay-më mërho-r,,DEM ø we money give-REM.PST European-3SG.M,ɨnd ø nëm maroham hay-më mërho-r,the European (to whom) we gave money (OR:  the European (who) gave money to us),,,328,110
150,2293,,O-koruo na maia [i-hu’u].,,3.R-many NOM person [OBJ-give],O-koruo na maia [i-hu’u].,There are lots of people who were given something.,,,335,380
153,1166,,[Minca-ka SENSAYNG-EYKEY chayk-ul tuli-l] sensayng,,[Minca-NOM teacher-to book-ACC give-PROS] teacher,[Minca-ka SENSAYNG-EYKEY chayk-ul tuli-l] sensayng,The teacher to whom Minca will give a book.,,,339,67
158,2012,,kadeh [mə=ga=yε=jon]?,,who [REL=IMM=1.A=give],kadeh [mə=ga=yε=jon]?,(It is to) whom that I will give (it)?,,,345,341 (ex.15)
160,275,,kale-an ema-n d-Ø-Ø-io-te-n paper bat-ean irakurr-i d-Ø-u-Ø-ela esa-n d-Ø-Ø-it-Ø,,street-SG.LOC give-PFV 3.ABS-PRS-TR.AUX-3SG.DAT-3PL.ERG-COMP flier one-SG.LOC read-PFV 3.ABS-PRS-TR.AUX-3SG.ERG-COMP say-PFV 3.ABS-PRS-TR.AUX-1SG.DAT-3SG.ERG,kale-an ema-n d-Ø-Ø-io-te-n paper bat-ean irakurr-i d-Ø-u-Ø-ela esa-n d-Ø-Ø-it-Ø,He has told me that he has read it in a flier which they have given him in the street.,,,349,37
171,422,,[??ngoh sung go bun syu ge] yahn,,[I gave that CLF book REL] person,[??ngoh sung go bun syu ge] yahn,the person I gave that book,,,8,108 (ex.8b)
174,2447,,Mí má hŋ́ dàbē yīí-è bà kē |à’ā (yīí kē) g||ú.,,1SG TOP see children.N3 N3-REL 2SG PST give (N3 TR) water,Mí má hŋ́ dàbē yīí-è bà kē |à’ā (yīí kē) g||ú.,I see the children whom you gave water.,,,333,(ex.11a)
178,673,,nyɔ́núi [ɖè Kɔ̀kú xɛ́lɛ́ xwé ɔ́ ti] ɔ́,,woman [that Koku show house DET Ø] DET,nyɔ́núi [ɖè Kɔ̀kú xɛ́lɛ́ xwé ɔ́ ti] ɔ́,the woman (to) whom Koku showed the house,,,189,89 (ex.49c)
181,1657,,bisma haŋ-a kae,,Bisma say-NMLZ son,bisma haŋ-a kae,The son who is called Bisma,,,40,55 (ex.25)
184,1755,,Eshkam znagad wii-debnaming iw wii=boodwe-m-g,,X X X-X that REL.FUT=burn-INDF-3.SBJ(C),Eshkam znagad wii-debnaming iw CHANGE-wii=boodwe-m-g,It’s getting increasingly difficult to get firewood. (lit. It’s getting increasingly difficult to get that wich one burns(as fuel).),,,362,15 (35c)
186,815,,swíwʔləs kwθə ni ʔám-əs-t-əs ʔə kwθə púkw,,boy DET AUX give-APPL-TR-3SG.SBJ OBL DET book,swíwʔləs kwθə ni ʔám-əs-t-əs ʔə kwθə púkw,It’s a boy that he gave the book to.,,,366,96 (ex.25)
187,2552,,Izinsizwa [ubaba azinike incwadi] zisebenza kulelibhilidi,,young_men [my:father CRP:them:gave letter] they:work in:this:building,Izinsizwa [ubaba azinike incwadi] zisebenza kulelibhilidi,The young men to whom my father gave the letter work in this building,,,367,190 (ex.46)
189,1776,,Mɔhesɔ ciṭhi lekh-i-th-iba lokɔ-ṭi-rɔ stri mɔr-i-gɔl-a.,,Mahésa letter write-CVB-AUX-INF person-ART-GEN wife die-CV-V2:go:PST-3SG,Mɔhesɔ ciṭhi lekh-i-th-iba lokɔ-ṭi-rɔ stri mɔr-i-gɔl-a.,The wife of the man whom Mahésa had written a letter died.,,,368,391 (ex.4)
190,483,,ŋiúMmíʔH ʔiL kaL-hẽL cúM ʔíL ʔmáMʔĩLM ŋiíHkõM ø,,boy COMP PST-offer.TI.3 3 that.AN pencil to ø,ŋiúMmíʔH ʔiL kaL-hẽL cúM ʔíL ʔmáMʔĩLM ŋiíHkõM ø,that boy who s/he offered a pencil to,,,5379340125,315 (ex.967b)
191,483,,míMŋiíL ʔiL kaL-kuéʔL (ʔiL) ieʔL ø ʔíHmiiʔMH,,pig COMP PST-give.DI.3 (that.AN) elder ø bread,míMŋiíL ʔiL kaL-kuéʔL (ʔiL) ieʔL ø ʔíHmiiʔMH,(that) pig that the old man gave a bread roll,,,5379340125,314 (ex.965d)
195,1071,,seniŋ kitap ber-gen oquwšI-ŋ,,your book give-PART student-2SG.POSS,seniŋ kitap ber-gen oquwšI-ŋ,the student whom you gave the book,,,385,
196,947,,[kimura-san ga Ø inu o ageta] kodomo,,[Kimura-Mr. NOM Ø dog ACC gave] child,[kimura-san ga Ø inu o ageta] kodomo,The child to whom Mr. Kimura gave a dog.,,,388,180 (ex.22)
198,2110,,"Cìnmpyi-cyɛ̀ɛbílá à sànya a wyì ké, pire nàmbaabíí màha m-pa ná vàànyi ì.",,blood.relative-women.DEF to death.announcement.DEF PRF announce REL their(EMPH) men.DEF HAB ITR-come with cloth.DEF with,"Cìnmpyi-cyɛ̀ɛbílá à sànya a wyì ké, pire nàmbaabíí màha m-pa ná vàànyi ì.","The female blood relatives to whom the death has been announced, their husbands come with the cloths.",,,390,492 (ex.8a)
204,431,,huni-dan [ən piti inan-ai],,man-TOP [I food give-PRS],huni-dan [ən piti inan-ai],the man to whom I give food,,,457,
209,1763,,tuk=ak yoʔjwa [tax=nüm-ay-i-:t-ütz-ʔaʔ],,one=AN man [C.1(ERG)=tell-APPL1-COMD-1+2PL-EXCL-NMZR,tuk=ak yoʔjwa [tax=nüm-ay-i-:t-ütz-ʔaʔ],One man that we told it to.,,,398,693 (ex.41a)
210,1817,,ó aadmii [ji(s) ø nüü mãi kataab dittii],,cor man [REL ø DAT.PP I book.F.SG give:PST.F.SG],ó aadmii [ji(s) ø nüü mãi kataab dittii],... the man to whom I gave the book ...,,,391,59 (ex.178a)
211,2502,,Ọkùnrin [tí mo fún _ ní ìwé],,man [REL 1SG.SBJ give _ SEC book],Ọkùnrin [tí mo fún _ ní ìwé],The man to whom I gave a book,,,850,160
213,2502,,Ọkùnrin [tí mo kọ ìwé sí],,man [REL 1SG.SBJ write book PREP],Ọkùnrin [tí mo kọ ìwé sí ],The man to whom I wrote a latter,,,850,161
215,1253,,lócə̀ àmɛ̂ rwòt òmìò lyèc,,man REL.PART king 3s:give.PFV elephant,lócə̀ àmɛ̂ rwòt òmìò lyèc,The man that the king gave the elephant to.,,,403,215 (ex.4)
216,1253,,lócə̀ àmɛ̂ rwòt òmìò lyèc bòté,,man REL+PART king 3s:give.PFV elephant to:3s,lócə̀ àmɛ̂ rwòt òmìò lyèc bòté,The man that the king gave the elephant to.,,,403,216 (ex.5)
217,103,,Mala mel sab ut-en (eu) cal m-en.,,chicken boy food 3SG.3SG-REM.PST (that) dead become.3SG-REM.PST,Mala mel sab ut-en (eu) cal m-en.,The chicken that the boy gave food has died.,,,85,52 (ex.193c)
225,34,,a-xàc’a a-š°q°’ə̀ Ø-z+ə-y-tà(-z) a-pħ°ə̀s də-z-də̀r-we-yt’,,the-man the-book it-to+whom-he-give(-NFIN) the-woman her-I-know-DYN-FIN,a-xàc’a a-š°q°’ə̀ Ø-z+ə-y-tà(-z) a-pħ°ə̀s də-z-də̀r-we-yt’,I know the woman to whom the man gave the book.,,,406,36
228,1263,,o-feil a-ham hide o-la-Ø ga aka o-bo’rea-ol le’laol feol lo-ma-re lo-ne fi vau lo-me,,3SG.POSS-bow(n) 3SG.M.OBJ-for thus 3SG.SBJ-cut-SG.N SG.N.ART then 3SG.POSS-arrow-DU.F two.F 3DU.F.FOC 3DU.F.OBJ-take-NF 3DU.F.OBJ-with 3SG.N.FOC go.out 3SG.S-HAB,o-feil a-ham hide o-la-Ø ga aka o-bo’rea-ol le’laol feol lo-ma-re lo-ne fi vau lo-me,... he took his bow that (his mother) had made for him and his two arrows and with them he went out.,,,409,254 (ex. 391)
254,7,,etiken bo-ce-n turki,,old_man give-PERF.PART-3SG.POSS sleigh,etiken bo-ce-n turki,the sleigh that was given by the old man,,,,
256,9,,sirisi’ri ẽrjãwã-’na jere’xwa ‘tsje=asa-hỹ,,ant_eater forest-LOC jaguar grab=leave-NOM,sirisi’ri ẽrjãwã-’na jere’xwa ‘tsje=asa-hỹ,that ant eater which the jaguar killed in the forest,,,257,689
260,1972,,kaleko-wa yo-gu saya ye-le-di-ma-wa,,cloth-PM CL1-1SG.P sibling 3SG-give-3PL.OBJ-hither-PM,kaleko-wa yo-gu saya ye-le-di-ma-wa,the clothes that my sister gave me,,,334,22
264,3,,[sehr-ra-lai Ø o-ra-e-o] mǝdǝ,,[elder-PL-OBJ Ø 3SG.A-3PL.P-give-NMLZ] wine,[sehr-ra-lai Ø o-ra-e-o] mǝdǝ,the wine [which he gave the elders],,,235,206
267,2,,Nua-ni umi-e-ni [men-e gada:-mi] ‘ai-we,,he-3SG drink-PST-3SG [REFL-OBJ buy.PST.PTCP-SS] vodka-ACC,Nua-ni umi-e-ni [men-e gada:-mi] ‘ai-we,He drank the vodka which he bought.,,,234,678
279,2225,,[xachaw me-‘iny]-pu mamwi-a,,[cloth 3/2-give+ORS]-DEM 2+do.what-Q,[xachaw me-‘iny]-pu mamwi-a,What did you do with the cloth she gave you?,,,78,209
290,15,,bàyndi go gi gìl-iŋ nò go lelé ɗé,,man REF 2.M show-1SG COP REF Lele NEG,bàyndi go gi gìl-iŋ nò go lelé ɗé,The man you have shown me is not Lele.,,,264,443
292,16,,nǎŋs˘i thîi chǎn hây (kὲ̀̀ε) khăw,,book REL 1SG give (to) 3SG,nǎŋs˘i thîi chǎn hây (kὲ̀̀ε) khăw,the book that I gave him,,,,(2)
293,16,,nǎ̀̀ŋs˘i thîi khǎw khǎay man hây (kὲ̀̀ε) chǎn,,book REL 3SG sell 3SG give (to) 1SG,nǎ̀̀ŋs˘i thîi khǎw khǎay man hây (kὲ̀̀ε) chǎn,the book that he sold to me,,,,(4)
298,18,,igitabo umuhûungu y-a-háa-ye umukôobwa,,book boy he-PST-give.REL-ASP girl,igitabo umuhûungu y-a-háa-ye umukôobwa,the book that the boy gave to the girl,,,138,68
307,22,,Esé-bo Pena-n bake-bo meni-ai r-iki moa-tian no-n axé.,,advice-PL Pena-ERG child-PL.ABS give-PP1:ABS EV-COP already-TEMP 1PL-GEN traditional.knowledge/custom,Esé-bo Pena-n bake-bo meni-ai r-iki moa-tian no-n axé.,The advice that Pena gives the children is part of our traditional custom.,,,239,530
313,23,,beje va:-na-n homo:ty,,man kill-PTCP-3SG bear,beje va:-na-n homo:ty,the bear killed by the man,,,240,39
314,25,,Mam wac nonon [nana-on] pain quit ca mi’ ma-pa’ pane.,,INS cut 3PL.RP [PL-3SG.M] PREP.3.N knife INFL.N.RPP give 2SG-1SG REM.PST,Mam wac nonon [nana-on] pain quit ca mi’ ma-pa’ pane.,They cut it with the knife that you gave me long ago.,,,230,88 (ex.125b)
322,24,,naaṉ neeṟṟu paar-tt-a paiyaṉ iṉṟu iṅkee va-nt-aaṉ,,I yesterday see-PST-ADJ boy today here come-PST-3SG.M,naaṉ neeṟṟu paar-tt-a paiyaṉ iṉṟu iṅkee va-nt-aaṉ,The boy that I saw yesterday came here today.,,,242,296
328,2471,,U toto’i-Øi [Peo-ta jamut-ta ai miika-ka-’u],,the hen-NOM [Pedro-ACC woman-ACC 3SG:ACC give-PFV-CLM],U toto’i-Øi [Peo-ta jamut-ta ai miika-ka-’u],The hen that Pedro gave (it) to the woman.,,,501,ex.9b
329,2471,,U toto’i-tai [Peo-ta jamut-ta-u ai nenka-ka-’u],,the hen-NOM [Peo-ACC woman-ACC-DIR 3SG:ACC sell-PFV-CLM],U toto’i-tai [Peo-ta jamut-ta-u ai nenka-ka-’u],The hen that Pedro sold (it) to the woman.,,,501,ex.10b
334,2562,,lawthlawpaa ka-ʔay-ter-mii rool kha ʔa-thuu,,farmer 1SG.SBJ-eat-CAUS-REL food DEIC 3SG.SBJ-stink,lawthlawpaa ka-ʔay-ter-mii rool kha ʔa-thuu,The food I fed the farmer stinks.,,,161,120
335,2562,,lawtlawpaa ʔan-thloʔ-piak-mii law khaa ka-hmuʔ,,farmer 3PL.SBJ-hoe-AFF-REL field DEIC 1SG.SBJ-see,lawtlawpaa ʔan-thloʔ-piak-mii law khaa ka-hmuʔ,I saw the field they hoed for the farmer.,,,161,121
344,2563,,su=miidɨ ɨmi i=kuhani-kɨ-na sida ʔmani-pɨ,,NOM=meat you.OBL 1=cook-APPL-PTCP bad become-PFV,su=miidɨ ɨmi i=kuhani-kɨ-na sida ʔmani-pɨ,The meat I cooked for you has spoiled.,,,270,286
349,2564,,Ikan jang saja masak untuk Ali tidak enak rasa-nja.,,fish COMP I cook for Ali not good taste-its,Ikan jang saja masak untuk Ali tidak enak rasa-nja.,The fish I cooked for Ali didn’t taste good.,,,278,229 (ex.35a)
350,2564,,Tidak seorang pun suka kepada wanite jang ajah saja kirim-i bunga.,,not someone even like to woman COMP father my send-BEN flower,Tidak seorang pun suka kepada wanite jang ajah saja kirim-i bunga.,No one likes the woman who my father sent the flowers.,,,278,237 (ex.58a)
352,449,,I puluma [ni gu-in-aiya ña i patgon],,the bird [REL NOM-love-3SG.POSS X the child],I puluma [ni gu-in-aiya ña i patgon],the bird which the child loved,,,279,46 (ex.82)
356,1179,,taam di kaa ay noo [se],,shoe DEF REL 1SG.SBJ give [A.DAT],taam di kaa ay noo [se],the shoes which I gave to Abba,,,283,191 (ex. 328a)
361,1893,,pətsa-Ni-zə-p-jy-tɕ fa,,just.now-ADV-DIR-buy-ASP-GEN clothes,pətsa-Ni-zə-p-jy-tɕ fa,the clothes just bought,,,285,225
369,2565,,"Nɛɛnɛ Siree on samba-xi naaxan na, i a xani.",,mother Siree 1PL.INCL present-PRF REL with 2SG 3SG send,"Nɛɛnɛ Siree on samba-xi naaxan na, i a xani.","What mother Siree presented us with, you sent it.",,,322,132
372,2566,,əy-nə ləy-bə upu-du-də sel hap-pu,,I-NOM buy-INF box-that-LOC money put-IMP,əy-nə ləy-bə upu-du-də sel hap-pu,Put money in the box that I bought.,,,292,281
379,2567,,doŋki-si he Griet si kaɟama ku-a,,donkey-SG REL Griet FUT show 3SG-DAT,doŋki-si he Griet si kaɟama ku-a,the donkey Griet will show to him,,,256,192 (ex.76a)
381,2568,,alla-ninngaanniit nassiun-niqar-tu-t,,other-ABL.PL send-PASS-INTR.PART-PL,alla-ninngaanniit nassiun-niqar-tu-t,Things sent from elsewhere.,,,325,52
384,1052,,su naphar [yus me yo:r on] gav garɨ.,,that person [REL I:ERG here brought] went home,su naphar [yus me yo:r on] gav garɨ.,The person whom I brought here went home.,,,326,61
386,1097,,luw pox e:lti mij-әm a:n-әl,,he boy to give-PST.PTCP cup-3SG.POSS,luw pox e:lti mij-әm a:n-әl,the cup he gave to the boy,,,327,86 (ex.217b)
395,632,,balam miraɲ baŋgul yaɽaŋgu budin bagun ᶁugumbilgu ŋaᶁa balgalŋugu,,DET:NOM.III bean.NOM DET:ERG.I man:ERG take.PRS/PST DET:DAT.II woman:DAT 1SG.NOM hit.REL:DAT,balam miraɲ baŋgul yaɽaŋgu budin bagun ᶁugumbilgu ŋaᶁa balgalŋugu,[The] man is taking beans to [the] woman I hit.,,,332,102 (ex.297)
398,2293,,Te poda i-hu’u-ako-su no-molengo.,,CORE knife OBJ-give-APPL-1SG.POSS 3.R-old,Te poda i-hu’u-ako-su no-molengo.,The knife that was given to me is antique.,,,335,382
399,2293,,Te baju [i-hu’u-no] o-saori-leama.,,CORE shirt [OBJ-give-3.POSS] 3.R-very-good,Te baju [i-hu’u-no] o-saori-leama.,The shirt given to him is very beautiful.,,,335,379
403,1166,,[ku salam-i John-ul cwu-n] chayk,,[the man-NOM John-ACC give-REL] book,[ku salam-i John-ul cwu-n] chayk,The book that the man gave John.,,,339,57
409,275,,"Filologoa ere banaiz, ordea, [behiala eman zidaten] tituluak adierazten duenez.",,philologist also ba:am however [long.ago give AUX.COMP] title.ERG say.IMPF AUX.as,"Filologoa ere banaiz, ordea, [behiala eman zidaten] tituluak adierazten duenez.","However, I am also a philologist, as the diploma they gave me long ago says.",,,352,776 (ex.1867)
410,275,,Liburu-ak erosi ohi d-it-u-da-n ikasle-entzat gutun-a ekarri d-u-t.,,book-PL buy HAB TENS-ABS.PL-ROOT-1PL.ERG-REL student-BEN.PL letter-ART brought TENS-ROOT-ERG,Liburu-ak erosi ohi d-it-u-da-n ikasle-entzat gutun-a ekarri d-u-t.,I brought a letter for the students for whom I (use to) buy books,,,355,
420,422,,[ngoh sung keuih ge] go bun syu,,[I give he REL] that CLF book,[ngoh sung keuih ge] go bun syu,the book I gave him,,,8,108 (ex.8a)
423,2447,,Mí má hŋ́ g||ú kā-è bà kē |à’ā (kā kē) dàbē.,,1SG TOP see water.N4 N4-REL 2SG PST give (N4 TR) children,Mí má hŋ́ g||ú kā-è bà kē |à’ā (kā kē) dàbē.,I see the water that you gave the children.,,,333,(ex.11b)
427,673,,xwéi [ɖè Kɔ̀kú xɛ́lɛ́ ti Àsíbá] ɔ,,house [that Koku show Ø Asiba] DET,xwéi [ɖè Kɔ̀kú xɛ́lɛ́ ti Àsíbá] ɔ,the house that Koku showed Asiba,,,189,89 (ex.50c)
433,1755,,akina giw wiij(i)=anokiim-Ø-ag-ig,,all those REL.with=work.AN-OBJ-1.SBJ(C)-3PL,akina giw wiij(i)=anokiim-Ø-ag-ig,... all of those I work with ...,,,362,15 (35b)
435,815,,níɬ kwθə púkw ni s-ʔám-əs-t-s kwθə swíwʔləs,,3.EMPH DET book AUX NMLZ-give-ADV.A-TR-3.POSS DET boy,níɬ kwθə púkw ni s-ʔám-əs-t-s kwθə swíwʔləs,It’s a book that he gave the boy.,,,366,103 (ex.56)
436,2552,,Indaba [obewungitshela yona] iliqiniso na?,,story [RC.on:were:me:tell it] it:(is):true INTER,Indaba [obewungitshela yona] iliqiniso na?,Is the story that you were telling me true?,,,367,28 (ex.7)
440,483,,ʔíHmiiʔMH (ʔiL) kaL-kuéʔL (hã́uM) ieʔL míMŋiíL ø,,bread (COMP) PST-give.DI.3 (that.IN) elder pig ø,ʔíHmiiʔMH (ʔiL) kaL-kuéʔL (hã́uM) ieʔL míMŋiíL ø,(that) bread roll (that) the old man gave the pig,,,5379340125,314 (ex.965c)
444,1071,,[sen ma-Gan ber-gen] kitab,,[you me-DAT give-PART] book,[sen ma-Gan ber-gen] kitab,the book that you gave to me,,,385,
453,431,,piti-dan [ən mia inan-ai],,food-TOP [I you give-PRS],piti-dan [ən mia inan-ai],the food that I give to you,,,457,
454,1264,,Memet’i-z na me-ç-ezdort’un k’wantsa,,Mehmet-DAT REL PV-give-PQP.I3P pot,Memet’i-z na me-ç-ezdort’un k’wantsa,the pot they gave to Mehmet,,,399,
456,1763,,jaʔ=k ʔi=pük [ʔi=mo:yʔ-u-ʔaʔ puʔjuyu],,DEF=AN A.3(POSS)=feather [A.3(ERG)=give-COMI-NMZR roadrunner],jaʔ=k ʔi=pük [ʔi=mo:yʔ-u-ʔaʔ puʔjuyu],The feathers that the roadrunner gave to him.,,,398,672 (ex.9a)
