Construction_ID,Construction_parameter_ID,Construction_parameter_value_name_ID,Construction_parameter_value_names_of_Construction_data::Value_name,Value_description,Construction_data_examples::Example_ID,Construction_data_references::Reference_ID,Construction_data_references::Pages
136,11,1,either T or R (but not both),"Prenominal gapping RCs; object relativization involves possessive marking of the RC head in agreement with the A/S of the RC (lit. I seeing man-my ‘the man whom I saw’). Apart from P, R and OBL arguments can also be relativized;.
See an example of R-relativization below; here relativization of the R is clearly from the indirective pattern, as T is unmarked; 
For an example of T-relativization see the indirective construction with T-fronting.",136,327,76
137,11,1,either T or R (but not both),"Prenominal gapping RCs; object relativization involves possessive marking of the RC head in agreement with the A/S of the RC (lit. I seeing man-my ‘the man whom I saw’). Apart from P, R and OBL arguments can also be relativized; see an example of T-relativization below (this RC is presumably related to the T-shifted construction, where T is more topical).",386,327,76
138,11,1,either T or R (but not both),"Prenominal gapping RCs; object relativization involves possessive marking of the RC head in agreement with the A/S of the RC (lit. I seeing man-my ‘the man whom I saw’). Apart from P, R and OBL arguments can also be relativized; see examples of R-relativization and T-relativization under Indirective construction with T fronting and T-shifting.",,327,76
139,11,1,either T or R (but not both),"Usually a postnominal non-finite gapping strategy (with no indexing on the verb); there may be also a postposed nonfinite RCs making use of an (optional) relative/ demonstrative pronoun (a verbal proclitic).
Relativization equally applies to subjects and objects (both primary and secondary, and also oblique objects). See ex. (177c) of R relativization below. Note that this example can mean both ‘the European to whom we gave money’ OR ‘the European who gave money to us’",139,328,108
140,11,1,either T or R (but not both),"Usually a postnominal non-finite (no indexing on the verb) gapping strategy; there may be also a postposed nonfinite RCs making use of an (optional) relative/demonstrative pronoun (a verbal proclitic).
Relativization equally applies to subjects and objects (both primary and secondary, and also oblique objects).",,328,108
141,11,,,"Either by switch reference or by participial RCs. In the latter case, RCs seem to be head internal (the case marker appears on the last constituent of the RC, on the participle):
p. 525; (34) 
[my-father-subj woman see-PART]-NOM.FOC
‘the woman that my father saw’

No restrictions noted; no ditransitive examples available.",,329,525
142,11,4,only R,"Postnominal RCs with a relative particle di’. Voice marking retained.
Only ARG2 (the absolutive argument) can be relativized, which means that P (like S) arguments are relativized from a direct pattern (e.g., (193), and A can be relativized from the inverse pattern (e.g., (196)). No ditransitive examples given.",,330,302
143,11,7,NEITHER,"Postnominal RCs with a relative particle di’. Voice marking retained.
Since only ARG2 (the absolutive argument) can be relativized, A can be relativized from the inverse pattern (e.g., (196)), but R and T cannot.
No ditransitive examples given.",,330,302
144,11,1,either T or R (but not both),Either postnominal finite introduced by an (indeclinable) relativizer (house [REL I born PROG] ‘house where I was born’). Or (more frequently) through clause chaining. Apparently in both cases no restrictions.,,331,175
145,11,1,either T or R (but not both),Either postnominal finite introduced by an (indeclinable) relativizer (house [REL I born PROG] ‘house where I was born’). Or (more frequently) through clause chaining. Apparently in both cases no restrictions.,,331,175
146,11,,,"RCs are participial postnominal: the participle takes –ŋu suffix replacing tense, and additionally case suffix in agreement with the head NP (zero with nominative NPs). 
Only S/P arguments can be relativized, relativization of A requires an an antipassive transformation of the relative clause (this is mentioned on p. 100 with respect to RCs in the nominative position, but apparently holds for RCs in general). Thus, only T is relativizable here.
Dative NPs can be modified by an RC, but a homophonous allative (and also ablative) cannot (see below under P-reativization).",395,332,99
147,11,,,"RCs are participial postnominal: the participle takes –ŋu suffix replacing tense, and additionally case suffix in agreement with the head NP (zero with nominative NPs). 
Only S/P arguments can be relativized, relativization of A requires an an antipassive transformation of the relative clause (this is mentioned on p. 100 with respect to RCs in the nominative position, but apparently holds for RCs in general). Thus, only T is relativizable here.",,332,99
148,11,,,"RCs are participial postnominal: the participle takes –ŋu suffix replacing tense, and additionally case suffix in agreement with the head NP (zero with nominative NPs). 
Only S/P arguments can be relativized, relativization of A requires an an antipassive transformation of the relative clause (this is mentioned on p. 100 with respect to RCs in the nominative position, but apparently holds for RCs in general). Thus, only R is relativizable here.",,332,99-100
149,11,1,either T or R (but not both),"Several types of Relative clauses, including: subject RC (A/S-relativization): through the use of the subject infix –um-; object RC through the use of object prefix i- instead of subject prefixes (A is encoded as Possessor); general RC (unmarked “instrumental” RC) which may be used to relativize on both core ad oblique arguments (even on base objects of applicatives, which normally resist relativization).

Both R and T can be apparently  relativized from a ditransitive construction (see ex. under Antipassive Construction); though T can be also relativized indirectly through a T-applicative (T-promoting) “anti-benefactive” construction. However, on p. 277 it is stated that only R of ditransitive verbs may head an object RC (??).",398,335,368
150,11,1,either T or R (but not both),"Several types of Relative clauses, incuding: subject RC (A/S-relativization): through the use of the subject infix –um-; object RC through the use of object prefix i- instead of subject prefixes (A is encoded as Poss-r); general RC (unmarked “instrumental” RC) which may be used to relativize on both core ad oblique arguments (even on base objects of applicatives, which normally resist relativization.
Both R and T can be relativized from a ditransitive construction (see below); if T is relativized then  R indexed by possessive AGR (alternatively, (61) can mean ‘shirt that he gave’, POS referring to A).",150,335,368
,,,,,399,,
151,11,2,only T,"Several types of Relative clauses, incuding: subject RC (A/S-relativization): through the use of the subject infix –um-; object RC through the use of object prefix i- instead of subject prefixes (A is encoded as Poss-r); general RC (unmarked “instrumental” RC) which may be used to relativize on both core ad oblique arguments (even on base objects of applicatives, which normally resist relativization.
Only T can be relativized from this construction, as object relativization does not apply to oblique arguments",,335,368
152,11,1,either T or R (but not both),"Internally headed relative clauses; the relativized NP usually in RC initial position, case of the head attached to last RC constituent. Usually subject relativization (p. 131; (257)), but relativization of objects (Ps) and oblique objects is also possible by his strategy (ex. (260), (261)). Thus both R and T should be able to relativize although no ditransitive examples are given.",,337,133
153,11,1,either T or R (but not both),"Prenominal gapping RCs; both T and R (along with other objects, including oblique objects) may be relativized; see (13d) for relativization of (DAT) R.",153,339,67
154,11,1,either T or R (but not both),"Prenominal gapping RCs; both T and R (along with other objects, including oblique objects) may be relativized; see (13d) for relativization of (DAT) R.

O’Grady (p. 57) notes that relativization is equally possible for terms and OBLs; it is also possible for T from a double object construction (p. 57; (16)). 

(note however that according to Kozinsky&Polinsky 1993, in derived causative ditransitive constructions, P cannot relativize in the presence of the accusative causee; p. 300, *(48)).",403,339,67
158,11,1,either T or R (but not both),Indirect objects like other core arguments (but unlike obliques) can form RCs by a gapping strategy. The verb takes the relative proclitic mE=; cf. R-relativization; p. 341; (15).,158,345,251
159,11,1,either T or R (but not both),See Locative construction.,,,
160,11,1,either T or R (but not both),"Relative clauses by adding complementizer/relativizer -(e)n to the inflected verb or (more often) inflected auxiliary. The verb (“participial” -(e)n form) additionally agrees with the head NP in case. 
Both (ergative) A, absolutive S/P/T and dative R (which are indexed on the verb) are freely relativized. Obliques can be normally relativized only if they matching case with the case of the head N.
see (202) for R-relativization and (1867) for T-relativization.
U&H, 775; “dative NPs can be relativized but … it does not seem to be as easy as for subjects and direct objects” (in processing terms).",160,349,36
,,,,,409,352,775
161,11,8,only T freely,"Apparently, BEN-relativization is subject to the case matching condition, which holds generally for obliques (see Dative Construction).
Yet the example with case-matching seems hardly acceptable (see below; Julen Manterola Agirre p.c.).",410,,
162,11,1,either T or R (but not both),RCs pronominal participial gapping. Not only core arguments but also obliques can be relativized that way (cf. p. 3000; women firewood-acc cutting ax ‘the ax with which the women cut the firewood’).,,350,298 ff.
164,11,1,either T or R (but not both),"“Adjoined” RCs, with the markers –Na (same subject) or –NaNi (different subject); signaling switch reference with respect to S/A arguments. Pronouns can be omitted in a RC or can be retained. (p. 210; (539), (540)). Obviously no restrictions on relativization.",,353,204
165,11,1,either T or R (but not both),,,,
166,11,1,either T or R (but not both),"“Adjoined” RCs; the verb remains finite (with agreement retained), often introduced by a demonstrative (or relative?) pronoun. No restrictions on relativization noted.",,354,123
167,11,1,either T or R (but not both),"“Adjoined” RCs; the verb remains finite (with agreement retained), often introduced by a demonstrative (or relative?) pronoun. No restrictions on relativization noted.",,354,123
168,11,1,either T or R (but not both),,,,
169,11,,,RCs by finite verbs in combination with clause initial (noninflected) relative pronoun min. The latter is used to relativize subjects and objects (or maybe just subject as object RC in (361) looks like a passive). Not clear if R can be relativized that way. There is however another RC which involves an interrogative pronouns and which can relativize obliques (p. 204; (363)).,,356,203
171,11,8,only T freely,"Theme relativization is more acceptable than recipient relativization.

Note that in relative clauses, it is impossible to tell whether we are dealing with the T-R construction or the R-T construction.",171,8,108
,,,,,420,,
172,11,,,"Note that in relative clauses, it is impossible to tell whether we are dealing with the T-R construction or the R-T construction. Since the R-T construction is relatively restricted, no data on relativization are given here.",,,
174,11,1,either T or R (but not both),"Relativization by postnominal finite clause introduced by a relative pronoun. Both R (as in (11a)) and T (as in (11b)) can undergo relativization. Importantly, (unless a resumptive pronoun is used) retained (second) objects remain unmarked (see (11)), which suggests that not only the underlying first object may be relativized.",174,333,
,,,,,423,,
175,11,1,either T or R (but not both),,,,
176,11,1,either T or R (but not both),,,,
177,11,1,either T or R (but not both),,,,
178,11,1,either T or R (but not both),Both R and T can be relativized; relativization is postnominal gapping; RC introduced by demonstrative/relative pronoun; see R-relativization in (49c) and T-relativization in (50c),178,189,89
,,,,,427,,
179,11,,,No examples of relativization from Indirective prepositional construction; thus not clear whether prepositional R can be relativized by the same strategy.,,,
180,11,,,No examples of relativization from a Serial verb construction.,,,
181,11,1,either T or R (but not both),"Relativization pronominal gapping participial. Different forms of participles (“nominalizers”) for subject and object relativization (interestingly, with obliques both may be used).
Both R and T are relativized by the object participle (no examples for T-relativization; cf. though P-relativization in 24); for R-relativization see (25) which is lit. ‘the son to whom he aid Bisma’. see FN 16).",181,40,
184,11,1,either T or R (but not both),"Relativization, postnominal or prenominal, finite (agreement retained), but the verb takes the REL-prefix. Both subjects and objects can be relativized: see (35b) for relativization of Primary Object, and (35c) for relativization of Secondary Object.
NB yet is seems that there’s no object agreement in case of Secondary Object-relativization? (cf. 35c). Yes, no Secondary Object agreement in general in subordinate clauses (R. Rhodes, p.c.)
Adjuncts are relativized restrictedly; mostly obliques must advance to object or “relative root complement” (i.e., complements of a sort of incorporated adposiitions) to relativize.",184,362,15-16
,,,,,433,,
186,11,4,only R,"Relative clauses are postnominal, gapping, nonfinite insofar as they involve a subordinate verb form with a special set of subject agreement suffixes (cf. P-relativization in (112b)). 
The gapping strategy applies only for subjects and objects, relativization (as well as other extractions – cleft sentences, WH-questions), involves another strategy involving nominalization; cf. INSTR-relativization in (154) p. 72. However, the possessor from the absolutive (S/O) nominal can also be extracted directly (without nominalization).
p. 96; In ditransitive constructions, Rs like Ps can be directly extracted/relatvized; see (25) ‘It is the boy I gave the book to’ . Rs like Ps cannot be extracted through nominalization (see (29). Even extraction of the possessor of the R argument is possible as for Possessor of Ps.
By contrast, T cannot be extracted/relativized directly; see the ungrammatical (50) p. 102; in this case the nominalization should be used: (56) p. 103. This is an oblique like behavior, but the nominalizer involved is different!.",186,366,60
,,,,,435,,
187,11,4,only R,"Relative clauses are postverbal, the verb is nonfinite, taking the “relative prefix” in agreement with the subordinate subject (in some types of relative clause the verb also takes a relative suffix -yo). 
When P arguments are relativized, they are represented on the participial verb by an object agreement prefix (see (6), p. 28); the same holds for R (see (46), p. 190). T, however, is relativized with a pronoun retention strategy (see (7), p. 28). The same strategy is generally used for obliques.",187,,
,,,,,436,,
189,11,1,either T or R (but not both),"Participial clauses, with participles (also used as gerunds and nominalizations) in –a and –iba. The -a form is rather perfective/resultative, and is used to relativize S/P (as resultatives do). The –iba form is rather imperfective, although can be attached to different aspectual forms including perfect. It can any case seems to relativize on both subjects (S/A), objects, and even obliques. See (4) for R-relativization.",189,368,391
190,11,2,only T,"Relative clauses are postnominal gapping. They are frequently introduced by a demonstrative determiner and/or complementizer (neither is obligatory but one of them usually present). The verb remains finite insofar as it shows the same forms (direct, inverse, animate, ditransitive etc). Importantly, both objects can be relativized by the basic gapping strategy from a ditransitive construction (see Ditransitive Inanimate construction), but only T can be relativized from a monotransitive construction by gapping. 
Relativization of prepositional R requires preposition stranding like relativization of other prepositional obliques; ; cf. R-relativization in (967b) ‘the boy she offered pencil to’.",190,,
191,11,1,either T or R (but not both),"Relative clauses are postnominal gapping. They are frequently introduced by a demonstrative determiner and/or complementizer (neither is obligatory but one of them usually present). The verb remains finite insofar as shows the same forms (direct, inverse, animate, ditransitive etc). Importantly, both objects can be relativized by the basic gapping strategy; cf. the basic clause (965) with then ditransitive inanimate (direct form), with T-relativization in (965c) and R-relativization in (965d). Importantly, the verb has the same (ditransitive inanimate direct) form.",191,,
,,,,,440,,
192,11,1,either T or R (but not both),"Relative clauses are postnominal gapping. They are frequently introduced by a demonstrative determiner and/or complementizer (neither is obligatory but one of them usually present). The verb remains finite insofar as shows the same forms (direct, inverse, animate, ditransitive etc). Importantly, both objects can be relativized by the basic gapping strategy; cf. the basic clause (965) with then ditransitive inanimate (direct form), with T-relativization in (965c) and R-relativization in (965d). Importantly, the verb has the same (ditransitive inanimate direct) form.",,,
193,11,1,either T or R (but not both),Westerman 1907: 106; Relative clauses are postnominally introduced by a relative pronoun and often followed by a demonstrative lá; apparently no restrictions on object relativization.,,,
194,11,1,either T or R (but not both),"Westerman 1907: 106; Relative clauses are postnominal introduced by a relative pronouns, and often followed by a demonstrative lá; apparently no restrictions on object relativization.",,,
195,11,1,either T or R (but not both),"Prenominal participial gapping relativization. Under object relativization, the head of the relative clause may either remain unmarked; the subordinate subject will be likewise unmarked (nominative) in that case. Alternatively the head can take possessive agreement cross-referencing the subordinate subject in the genitive case. (In the latter case the head may also be understood as possessed by the subject; cf. ‘your book that you gave’, ‘your student whom you gave'). 
seniŋ ma-Gan ber-gen kitab-Iŋ
your me-DAT give-PART book-2SG.POS 
‘the book that you gave to me’

seniŋ kitap ber-gen oquwšI-ŋ
your book give-PART  student-2SG.POS 
‘the student whom you gave the book’",195,,
,,,,,444,,
196,11,1,either T or R (but not both),"Relativization is prenominal gapping for the higher positions on the Accessibility Hierarchy (there is also a marginal internal strategy). R can be relativized by the gapping strategy (along with other objects and obliques). Cf. example of relativization of R:
Iwa, 180: ‘the child to whom Kimura gave a dog’.",196,388,180
197,11,1,either T or R (but not both),"Several types of relative clauses; finite with a relative pronoun, a “reduced” (non-finite) RC with the REL marker prefixed, and a “tenseless reduced”, with REL marker suffixed and tense prefix omitted. In all three types agreement markers are retained. Apparently no restriction on relativization of subjects an objects. No ditransitive examples given.",,389,90
198,11,2,only T,"Relative clauses are usually postnominal, using a relative marker ké in a clause final position. Relativization is reminiscent of focusing. Subjects if relativized are followed by a resumptive pronoun, direct objects are relativized by gapping, indirect/oblique objects are relativized by gapping in combination with fronting of the postposition into a posthead position. Thus only T can be relativized as P by mere gapping in this pattern.

There is also an internal relativization strategy, that allows to relativize on any object, including R (499;17b)).",198,390,493
